investment_id,customer_id,investment_type,invested_amount,current_value,returns_pct,start_date,duration_years,maturity_date,annual_return_rate,status,risk_category,branch_id
INV00071,CUST02682,Fixed Deposit,847898.0,929711.0,9.65,2023-09-06,5,2028-09-04,7.24,Active,Low,BR023
INV00072,CUST02127,Fixed Deposit,2126311.0,2947497.0,38.62,2020-07-27,1,2021-07-27,7.65,Active,Low,BR002
INV00073,CUST00905,Gold Bond,310833.0,454110.0,46.09,2022-02-24,5,2027-02-23,14.23,Active,Medium,BR031
INV00074,CUST02787,Stocks,520910.0,645027.0,23.83,2022-08-20,5,2027-08-19,9.46,Matured,High,BR031
INV00075,CUST01632,SIP,4377.0,5332.0,21.82,2022-09-24,2,2024-09-23,9.09,Active,Medium,BR013
INV00076,CUST01240,Recurring Deposit,27385.0,41047.0,49.89,2021-12-12,10,2031-12-10,14.18,Active,Low,BR020
INV00077,CUST02925,Gold Bond,468934.0,535913.0,14.28,2023-10-18,5,2028-10-16,11.74,Withdrawn,Medium,BR032
INV00078,CUST00589,SIP,28998.0,41244.0,42.23,2020-05-16,7,2027-05-15,7.91,Active,Medium,BR006
INV00079,CUST02212,Mutual Fund,265934.0,302130.0,13.61,2023-03-16,1,2024-03-15,7.37,Active,High,BR037
INV00080,CUST01467,PPF,134059.0,171185.0,27.69,2023-06-18,3,2026-06-17,17.24,Active,Low,BR016
INV00081,CUST00369,PPF,74120.0,105004.0,41.67,2022-07-21,5,2027-07-20,15.3,Active,Low,BR026
INV00082,CUST01390,Gold Bond,263363.0,325002.0,23.4,2023-01-10,5,2028-01-09,11.25,Active,Medium,BR044
INV00083,CUST00675,PPF,90809.0,141973.0,56.34,2022-04-17,10,2032-04-14,17.95,Matured,Low,BR048
INV00084,CUST02029,NPS,178206.0,322349.0,80.89,2021-04-04,1,2022-04-04,17.16,Active,Medium,BR024
INV00085,CUST00929,Recurring Deposit,3763.0,4618.0,22.72,2023-02-06,7,2030-02-04,11.39,Active,Low,BR033
INV00086,CUST02608,NPS,137610.0,189445.0,37.67,2022-10-28,7,2029-10-26,15.83,Matured,Medium,BR020
INV00087,CUST02773,Stocks,208427.0,331558.0,59.08,2021-01-29,5,2026-01-28,12.57,Active,High,BR002
INV00088,CUST02409,Fixed Deposit,434083.0,638064.0,46.99,2021-03-24,3,2024-03-23,10.75,Matured,Low,BR035
INV00089,CUST00113,Fixed Deposit,4512539.0,6465474.0,43.28,2021-06-05,3,2024-06-04,10.59,Active,Low,BR043
INV00090,CUST00634,Mutual Fund,254599.0,304429.0,19.57,2022-05-04,2,2024-05-03,6.95,Active,High,BR004
INV00091,CUST02299,Gold Bond,400913.0,506974.0,26.45,2021-03-20,7,2028-03-18,6.4,Active,Medium,BR042
INV00092,CUST01524,Gold Bond,188342.0,397890.0,111.26,2020-03-11,1,2021-03-11,16.83,Active,Medium,BR006
INV00093,CUST00853,Recurring Deposit,5944.0,8009.0,34.74,2022-09-28,7,2029-09-26,14.12,Active,Low,BR015
INV00094,CUST00563,NPS,190561.0,255236.0,33.94,2022-04-02,3,2025-04-01,11.22,Active,Medium,BR017
INV00095,CUST02413,SIP,35041.0,44238.0,26.25,2021-12-22,3,2024-12-21,8.01,Active,Medium,BR019
INV00096,CUST02253,Mutual Fund,158148.0,180117.0,13.89,2022-10-29,1,2023-10-29,6.17,Matured,High,BR028
INV00097,CUST00389,Gold Bond,477521.0,582426.0,21.97,2022-06-10,7,2029-06-08,8.07,Active,Medium,BR008
INV00098,CUST02757,Fixed Deposit,2887268.0,3509847.0,21.56,2022-05-19,7,2029-05-17,7.74,Active,Low,BR013
INV00099,CUST00140,Gold Bond,240867.0,307816.0,27.8,2021-08-29,10,2031-08-27,7.62,Active,Medium,BR001
INV00100,CUST00130,NPS,129693.0,177680.0,37.0,2023-01-06,2,2025-01-05,17.2,Active,Medium,BR037
INV00101,CUST01921,Stocks,66511.0,83717.0,25.87,2023-07-28,1,2024-07-27,17.49,Matured,High,BR005
INV00102,CUST02279,Gold Bond,413158.0,568873.0,37.69,2021-08-09,5,2026-08-08,9.88,Active,Medium,BR019
INV00103,CUST02395,NPS,194064.0,291762.0,50.34,2021-12-19,2,2023-12-19,14.39,Withdrawn,Medium,BR006
INV00104,CUST02427,PPF,98302.0,124309.0,26.46,2022-03-01,1,2023-03-01,8.63,Withdrawn,Low,BR026
INV00105,CUST02760,NPS,152657.0,210275.0,37.74,2023-01-06,3,2026-01-05,17.52,Active,Medium,BR028
INV00106,CUST00966,Mutual Fund,157452.0,335650.0,113.18,2020-01-24,10,2030-01-21,16.57,Matured,High,BR050
INV00107,CUST00584,Stocks,259616.0,390886.0,50.56,2021-03-30,3,2024-03-29,11.51,Active,High,BR012
INV00108,CUST02012,NPS,21857.0,38503.0,76.16,2020-11-16,7,2027-11-15,14.72,Active,Medium,BR015
INV00109,CUST01292,Fixed Deposit,3380809.0,4281588.0,26.64,2022-12-05,3,2025-12-04,12.08,Active,Low,BR041
INV00110,CUST01121,PPF,61141.0,119822.0,95.98,2020-10-03,2,2022-10-03,17.18,Active,Low,BR046
INV00111,CUST01271,Recurring Deposit,8014.0,14702.0,83.45,2020-07-27,7,2027-07-26,14.68,Active,Low,BR028
INV00112,CUST02287,NPS,151464.0,276989.0,82.87,2020-03-09,10,2030-03-07,13.36,Matured,Medium,BR014
INV00113,CUST01383,Fixed Deposit,2385639.0,3110067.0,30.37,2021-02-16,10,2031-02-14,7.09,Active,Low,BR028
INV00114,CUST01654,Gold Bond,388669.0,499295.0,28.46,2021-06-20,5,2026-06-19,7.35,Active,Medium,BR029
INV00115,CUST00987,NPS,156086.0,221753.0,42.07,2022-08-02,10,2032-07-30,15.66,Active,Medium,BR003
INV00116,CUST02221,NPS,70874.0,114377.0,61.38,2020-02-18,5,2025-02-16,10.33,Withdrawn,Medium,BR003
INV00117,CUST01985,Recurring Deposit,33997.0,42128.0,23.92,2022-07-21,5,2027-07-20,9.16,Active,Low,BR038
INV00118,CUST00521,Stocks,298334.0,462122.0,54.9,2020-11-24,1,2021-11-24,11.26,Active,High,BR048
INV00119,CUST01486,SIP,18044.0,21781.0,20.71,2022-08-01,5,2027-07-31,8.1,Active,Medium,BR040
INV00120,CUST02970,Gold Bond,189641.0,222642.0,17.4,2023-06-06,1,2024-06-05,10.76,Active,Medium,BR041
INV00121,CUST00151,SIP,44272.0,52428.0,18.42,2023-06-27,5,2028-06-25,11.83,Active,Medium,BR009
INV00122,CUST00271,Recurring Deposit,48952.0,88666.0,81.13,2021-05-30,1,2022-05-30,18.0,Active,Low,BR013
INV00123,CUST01731,Stocks,311793.0,347065.0,11.31,2023-11-14,10,2033-11-11,9.96,Active,High,BR047
INV00124,CUST02544,Stocks,873779.0,1028137.0,17.67,2023-08-21,10,2033-08-18,12.69,Active,High,BR046
INV00125,CUST01664,Stocks,881316.0,1205453.0,36.78,2022-03-02,3,2025-03-01,11.69,Active,High,BR012
INV00126,CUST02551,Mutual Fund,216914.0,250130.0,15.31,2023-05-02,7,2030-04-30,8.93,Matured,High,BR050
INV00127,CUST02000,Fixed Deposit,4562194.0,6202710.0,35.96,2021-06-23,3,2024-06-22,9.11,Matured,Low,BR032
INV00128,CUST02161,Gold Bond,9741.0,13366.0,37.21,2020-06-24,3,2023-06-24,7.25,Active,Medium,BR001
INV00129,CUST01601,NPS,159415.0,223167.0,39.99,2022-07-17,5,2027-07-16,14.67,Active,Medium,BR011
INV00130,CUST00541,Fixed Deposit,1158605.0,2051527.0,77.07,2020-03-06,7,2027-03-05,12.58,Matured,Low,BR008
INV00131,CUST02476,Stocks,995496.0,1578032.0,58.52,2020-07-13,1,2021-07-13,10.86,Matured,High,BR026
INV00132,CUST02137,Stocks,967360.0,1170232.0,20.97,2023-02-16,5,2028-02-15,10.71,Withdrawn,High,BR049
INV00133,CUST00754,NPS,181716.0,232239.0,27.8,2021-12-03,2,2023-12-03,8.3,Matured,Medium,BR045
INV00134,CUST01661,SIP,10863.0,19616.0,80.58,2020-06-11,10,2030-06-09,13.85,Withdrawn,Medium,BR012
INV00135,CUST00512,Fixed Deposit,1788204.0,2670397.0,49.33,2022-05-23,1,2023-05-23,16.62,Active,Low,BR027
INV00136,CUST00099,SIP,27218.0,34173.0,25.55,2022-03-19,2,2024-03-18,8.51,Matured,Medium,BR017
INV00137,CUST01055,Fixed Deposit,2171708.0,3083012.0,41.96,2021-04-06,7,2028-04-04,9.83,Matured,Low,BR018
INV00138,CUST00334,Recurring Deposit,47453.0,53054.0,11.8,2023-08-26,1,2024-08-25,8.63,Matured,Low,BR001
INV00139,CUST02136,SIP,3632.0,4372.0,20.37,2021-11-09,10,2031-11-07,6.08,Active,Medium,BR038
INV00140,CUST00231,SIP,31917.0,34509.0,8.12,2023-09-05,5,2028-09-03,6.09,Active,Medium,BR023
INV00141,CUST02884,Recurring Deposit,33263.0,51452.0,54.68,2022-04-27,7,2029-04-25,17.68,Active,Low,BR040
INV00142,CUST01390,Mutual Fund,292338.0,420216.0,43.74,2020-03-22,2,2022-03-22,7.89,Matured,High,BR044
INV00143,CUST00556,Mutual Fund,114757.0,176533.0,53.83,2021-11-27,1,2022-11-27,14.94,Active,High,BR021
INV00144,CUST02607,Gold Bond,171631.0,255325.0,48.76,2022-01-01,5,2026-12-31,14.17,Matured,Medium,BR029
INV00145,CUST02262,Fixed Deposit,959354.0,1877371.0,95.69,2020-02-06,5,2025-02-04,14.68,Active,Low,BR037
INV00146,CUST02176,NPS,2160.0,2606.0,20.65,2022-05-14,10,2032-05-11,7.39,Matured,Medium,BR026
INV00147,CUST02035,Gold Bond,452769.0,504019.0,11.32,2023-07-05,2,2025-07-04,7.46,Matured,Medium,BR046
INV00148,CUST01515,Stocks,803415.0,1018282.0,26.74,2022-05-17,7,2029-05-15,9.45,Matured,High,BR047
INV00149,CUST02388,Fixed Deposit,2672011.0,3669758.0,37.34,2021-10-10,1,2022-10-10,10.34,Matured,Low,BR004
INV00150,CUST00361,Mutual Fund,478543.0,599103.0,25.19,2023-07-12,2,2025-07-11,16.5,Active,High,BR014
INV00151,CUST00446,Fixed Deposit,4101074.0,6749342.0,64.57,2020-03-16,10,2030-03-14,10.95,Active,Low,BR023
INV00152,CUST02213,Recurring Deposit,43824.0,54904.0,25.28,2021-11-14,2,2023-11-14,7.47,Active,Low,BR008
INV00153,CUST01118,Recurring Deposit,38190.0,47101.0,23.33,2022-08-05,2,2024-08-04,9.11,Active,Low,BR034
INV00154,CUST00130,Recurring Deposit,31150.0,43104.0,38.38,2022-02-02,10,2032-01-31,11.81,Active,Low,BR037
INV00155,CUST01092,NPS,181863.0,246305.0,35.43,2021-05-07,2,2023-05-07,8.66,Active,Medium,BR013
INV00156,CUST00145,NPS,188355.0,314779.0,67.12,2020-12-20,3,2023-12-20,13.59,Active,Medium,BR015
INV00157,CUST00564,NPS,183742.0,222183.0,20.92,2022-02-16,1,2023-02-16,6.84,Active,Medium,BR028
INV00158,CUST00328,Gold Bond,156335.0,185836.0,18.87,2023-11-06,1,2024-11-05,16.21,Active,Medium,BR033
INV00159,CUST02777,PPF,81469.0,157348.0,93.14,2020-03-03,10,2030-03-01,14.6,Active,Low,BR014
INV00160,CUST02336,Gold Bond,146380.0,183748.0,25.53,2022-01-18,7,2029-01-16,8.01,Active,Medium,BR025
INV00161,CUST00206,Stocks,675645.0,908086.0,34.4,2022-08-26,5,2027-08-25,13.42,Active,High,BR030
INV00162,CUST00824,Fixed Deposit,2355582.0,4491790.0,90.69,2020-05-13,1,2021-05-13,14.94,Active,Low,BR011
INV00163,CUST01323,Fixed Deposit,1881929.0,2554753.0,35.75,2022-09-09,7,2029-09-07,14.15,Active,Low,BR012
INV00164,CUST02185,NPS,63540.0,76249.0,20.0,2023-10-15,3,2026-10-14,16.25,Active,Medium,BR009
INV00165,CUST00488,NPS,74442.0,82939.0,11.41,2023-05-12,3,2026-05-11,6.82,Withdrawn,Medium,BR040
INV00166,CUST02663,SIP,32523.0,57407.0,76.51,2020-11-03,7,2027-11-02,14.64,Matured,Medium,BR031
INV00167,CUST02229,Gold Bond,445253.0,598910.0,34.51,2021-10-17,7,2028-10-15,9.69,Active,Medium,BR023
INV00168,CUST01989,Gold Bond,25923.0,33598.0,29.61,2022-11-01,10,2032-10-29,12.73,Withdrawn,Medium,BR042
INV00169,CUST00350,Recurring Deposit,3739.0,7131.0,90.72,2021-01-01,10,2030-12-30,17.53,Withdrawn,Low,BR043
INV00170,CUST01644,Fixed Deposit,4217751.0,5110741.0,21.17,2023-06-10,3,2026-06-09,13.11,Active,Low,BR022
INV00171,CUST02400,Recurring Deposit,5225.0,6413.0,22.74,2021-11-18,3,2024-11-17,6.79,Matured,Low,BR015
INV00172,CUST01511,Fixed Deposit,1592379.0,2173066.0,36.47,2020-12-20,7,2027-12-19,8.02,Matured,Low,BR043
INV00173,CUST00187,PPF,14753.0,25565.0,73.29,2021-04-14,5,2026-04-13,15.95,Matured,Low,BR045
INV00174,CUST00561,NPS,89025.0,126139.0,41.69,2022-03-21,2,2024-03-20,13.35,Active,Medium,BR043
INV00175,CUST00475,Fixed Deposit,2062305.0,3009677.0,45.94,2021-08-14,7,2028-08-12,11.83,Active,Low,BR003
INV00176,CUST00395,Gold Bond,194974.0,286748.0,47.07,2021-06-07,7,2028-06-05,11.42,Active,Medium,BR047
INV00177,CUST01577,SIP,18832.0,26485.0,40.64,2020-03-27,10,2030-03-25,7.42,Matured,Medium,BR047
INV00178,CUST00399,PPF,61631.0,75573.0,22.62,2021-12-12,3,2024-12-11,6.91,Active,Low,BR007
INV00179,CUST02418,Recurring Deposit,5818.0,6443.0,10.74,2023-09-25,1,2024-09-24,8.39,Matured,Low,BR013
INV00180,CUST02233,SIP,18468.0,24250.0,31.31,2021-08-28,5,2026-08-27,8.49,Active,Medium,BR007
INV00181,CUST02319,Fixed Deposit,627468.0,767461.0,22.31,2022-07-20,5,2027-07-19,8.57,Active,Low,BR038
INV00182,CUST02984,Gold Bond,272684.0,417919.0,53.26,2020-03-26,2,2022-03-26,9.37,Active,Medium,BR035
INV00183,CUST02126,Mutual Fund,95838.0,107885.0,12.57,2023-08-10,2,2025-08-09,8.88,Active,High,BR031
INV00184,CUST01323,Gold Bond,383208.0,548057.0,43.02,2021-06-01,3,2024-05-31,10.5,Matured,Medium,BR012
INV00185,CUST02807,NPS,4844.0,6865.0,41.72,2021-09-10,2,2023-09-10,11.12,Matured,Medium,BR039
INV00186,CUST00260,NPS,56331.0,118530.0,110.42,2020-02-26,1,2021-02-25,16.59,Active,Medium,BR039
INV00187,CUST00753,Recurring Deposit,47470.0,82742.0,74.3,2021-03-07,3,2024-03-06,15.66,Active,Low,BR011
INV00188,CUST02012,SIP,6454.0,10140.0,57.11,2020-08-22,1,2021-08-22,10.92,Active,Medium,BR015
INV00189,CUST02672,Recurring Deposit,17533.0,26271.0,49.84,2021-02-11,10,2031-02-09,10.97,Active,Low,BR016
INV00190,CUST01918,SIP,25298.0,33509.0,32.46,2022-05-27,1,2023-05-27,11.43,Active,Medium,BR034
INV00191,CUST01041,Fixed Deposit,3152385.0,4933748.0,56.51,2020-01-19,1,2021-01-18,9.47,Active,Low,BR042
INV00192,CUST02684,NPS,199626.0,244077.0,22.27,2023-08-21,10,2033-08-18,15.91,Active,Medium,BR048
INV00193,CUST02111,Gold Bond,443111.0,845317.0,90.77,2020-02-16,2,2022-02-15,14.17,Active,Medium,BR019
INV00194,CUST02762,SIP,39951.0,55445.0,38.78,2021-10-06,1,2022-10-06,10.66,Active,Medium,BR017
INV00195,CUST02069,Gold Bond,22215.0,28951.0,30.32,2023-03-03,7,2030-03-01,15.57,Active,Medium,BR015
INV00196,CUST02627,Stocks,168071.0,199155.0,18.49,2022-12-25,1,2023-12-25,8.78,Matured,High,BR027
INV00197,CUST02750,Fixed Deposit,297837.0,404106.0,35.68,2020-03-26,2,2022-03-26,6.61,Active,Low,BR006
INV00198,CUST00600,Mutual Fund,14152.0,16266.0,14.94,2023-11-28,1,2024-11-27,13.62,Withdrawn,High,BR002
INV00199,CUST02033,Mutual Fund,32077.0,44391.0,38.39,2022-11-03,5,2027-11-02,16.24,Active,High,BR041
INV00200,CUST01877,NPS,48522.0,98386.0,102.77,2020-08-19,5,2025-08-18,17.57,Active,Medium,BR030
INV00201,CUST00810,Stocks,270028.0,493418.0,82.73,2021-01-16,7,2028-01-15,16.46,Active,High,BR023
INV00202,CUST02263,SIP,1534.0,1955.0,27.44,2023-05-26,1,2024-05-25,16.35,Active,Medium,BR039
INV00203,CUST00873,PPF,66527.0,101720.0,52.9,2021-10-01,2,2023-10-01,13.96,Withdrawn,Low,BR010
INV00204,CUST01775,Mutual Fund,252574.0,396907.0,57.14,2020-06-05,2,2022-06-05,10.39,Active,High,BR011
INV00205,CUST02470,Gold Bond,131775.0,180308.0,36.83,2020-12-25,3,2023-12-25,8.12,Active,Medium,BR039
INV00206,CUST02497,PPF,85839.0,144300.0,68.11,2020-03-04,1,2021-03-04,11.36,Active,Low,BR018
INV00207,CUST00006,Stocks,960627.0,1292343.0,34.53,2021-03-24,10,2031-03-22,8.18,Active,High,BR039
INV00208,CUST01719,SIP,18920.0,25016.0,32.22,2023-01-01,10,2032-12-29,15.01,Active,Medium,BR016
INV00209,CUST00147,PPF,102218.0,179177.0,75.29,2020-01-24,10,2030-01-21,12.04,Matured,Low,BR013
INV00210,CUST02439,SIP,19243.0,22914.0,19.08,2022-06-02,1,2023-06-02,7.0,Active,Medium,BR030
INV00211,CUST00913,NPS,110075.0,157725.0,43.29,2022-05-11,2,2024-05-10,14.59,Active,Medium,BR048
INV00212,CUST02696,Gold Bond,343513.0,405181.0,17.95,2023-02-22,2,2025-02-21,9.31,Matured,Medium,BR007
INV00213,CUST02886,PPF,27273.0,36909.0,35.33,2022-11-11,3,2025-11-10,15.21,Matured,Low,BR008
INV00214,CUST01946,PPF,106324.0,147499.0,38.73,2022-01-29,2,2024-01-29,11.86,Active,Low,BR032
INV00215,CUST02440,Stocks,312998.0,436697.0,39.52,2020-08-22,1,2021-08-22,7.94,Withdrawn,High,BR042
INV00216,CUST01912,Mutual Fund,11835.0,14645.0,23.74,2021-10-25,5,2026-10-24,6.92,Active,High,BR013
INV00217,CUST01949,Gold Bond,229983.0,420422.0,82.81,2020-01-27,10,2030-01-24,13.02,Active,Medium,BR003
INV00218,CUST02510,Fixed Deposit,2080641.0,3166399.0,52.18,2021-12-12,5,2026-12-11,14.75,Active,Low,BR049
INV00219,CUST01603,NPS,144802.0,204895.0,41.5,2021-03-27,5,2026-03-26,9.66,Active,Medium,BR013
INV00220,CUST01152,Fixed Deposit,4909244.0,9645491.0,96.48,2020-08-07,7,2027-08-06,16.59,Matured,Low,BR040
INV00221,CUST01673,Gold Bond,137686.0,183033.0,32.94,2022-06-22,1,2023-06-22,11.93,Active,Medium,BR028
INV00222,CUST01027,Fixed Deposit,2434291.0,4114190.0,69.01,2021-01-03,10,2031-01-01,14.05,Matured,Low,BR038
