loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_years,emi_amount,disbursement_date,maturity_date,outstanding_amount,paid_emis,total_emis,days_past_due,loan_status,collateral_type,branch_id,credit_score_at_sanction
LN000026,CUST02323,Business Loan,7579063.0,14.26,2,364815.0,2021-12-01,2023-12-01,3748506.0,15,24,0,Active,None,BR004,710
LN000027,CUST00695,Personal Loan,334302.0,13.87,1,29996.0,2021-06-30,2022-06-30,250313.0,4,12,0,Active,None,BR011,741
LN000028,CUST00574,Personal Loan,707417.0,12.04,3,23511.0,2020-01-08,2023-01-07,213686.0,30,36,365,NPA,None,BR017,677
LN000029,CUST02765,Credit Card Loan,52037.0,20.36,1,4829.0,2022-01-04,2023-01-04,11473.0,12,12,0,Active,None,BR028,723
LN000030,CUST00072,Education Loan,923784.0,10.64,1,81491.0,2023-11-28,2024-11-27,239260.0,12,12,0,Active,None,BR043,798
LN000031,CUST01027,Gold Loan,343940.0,11.91,1,30544.0,2023-09-27,2024-09-26,237036.0,5,12,0,Active,Gold,BR038,692
LN000032,CUST02631,Car Loan,1094376.0,11.12,5,23859.0,2022-08-25,2027-08-24,994168.0,6,60,180,NPA,Vehicle,BR035,725
LN000033,CUST01142,Home Loan,2338947.0,8.64,10,29177.0,2021-05-19,2031-05-17,1848773.0,24,120,0,Active,Property,BR045,783
LN000034,CUST00655,Car Loan,344610.0,8.83,5,7126.0,2024-04-14,2029-04-13,244846.0,20,60,0,Active,Vehicle,BR017,878
LN000035,CUST02299,Home Loan,12115551.0,10.41,7,203732.0,2022-04-20,2029-04-18,9405915.0,19,84,30,Special Mention,Property,BR042,753
LN000036,CUST00081,Gold Loan,207870.0,10.74,2,9663.0,2023-10-16,2025-10-15,126701.0,12,24,0,Active,Gold,BR030,670
LN000037,CUST00924,Business Loan,4361376.0,11.22,2,203719.0,2020-09-06,2022-09-06,3648360.0,5,24,365,NPA,None,BR034,652
LN000038,CUST00536,Home Loan,13560165.0,9.88,7,224257.0,2023-12-02,2030-11-30,8850768.0,30,84,0,Active,Property,BR016,691
LN000039,CUST01402,Car Loan,2709630.0,8.3,5,55329.0,2023-11-08,2028-11-06,1237879.0,38,60,0,Active,Vehicle,BR047,721
LN000040,CUST02721,Education Loan,695427.0,11.87,7,12227.0,2020-06-08,2027-06-07,626956.0,8,84,30,Special Mention,None,BR013,888
LN000041,CUST00091,Personal Loan,1264789.0,15.65,2,61715.0,2022-07-27,2024-07-26,1091987.0,4,24,0,Active,None,BR006,792
LN000042,CUST01791,Credit Card Loan,113113.0,16.89,2,5587.0,2023-03-04,2025-03-03,30984.0,21,24,0,Active,None,BR009,604
LN000043,CUST01823,Business Loan,8059547.0,10.77,5,174304.0,2023-02-04,2028-02-03,2935009.0,42,60,0,Active,None,BR032,726
LN000044,CUST02729,Credit Card Loan,17233.0,17.15,3,616.0,2022-08-08,2025-08-07,2141.0,35,36,0,Active,None,BR003,670
LN000045,CUST02672,Education Loan,547895.0,10.21,2,25336.0,2022-08-09,2024-08-08,406013.0,8,24,0,Active,None,BR016,759
LN000046,CUST00448,Home Loan,7245480.0,8.16,5,147482.0,2021-03-22,2026-03-21,3941883.0,32,60,0,Active,Property,BR040,673
LN000047,CUST02110,Education Loan,1904061.0,9.76,1,167184.0,2021-03-02,2022-03-02,733773.0,10,12,0,Active,None,BR036,728
LN000048,CUST01148,Business Loan,5440192.0,14.05,3,186072.0,2021-12-06,2024-12-05,2444433.0,23,36,0,Active,None,BR002,630
LN000049,CUST00852,Car Loan,2778509.0,9.49,5,58346.0,2020-01-13,2025-01-11,1675770.0,27,60,365,NPA,Vehicle,BR049,777
LN000050,CUST02445,Car Loan,1401483.0,9.09,3,44628.0,2024-03-30,2027-03-30,339337.0,34,36,180,NPA,Vehicle,BR025,818
LN000051,CUST02830,Home Loan,14001207.0,9.71,5,295515.0,2022-03-28,2027-03-27,10691439.0,16,60,60,Special Mention,Property,BR011,835
LN000052,CUST01580,Home Loan,14138271.0,10.58,30,130193.0,2020-05-25,2050-05-18,12497839.0,18,360,0,Active,Property,BR033,667
LN000053,CUST02138,Business Loan,2393218.0,12.93,1,213678.0,2023-09-14,2024-09-13,1944494.0,3,12,365,NPA,None,BR044,776
LN000054,CUST02393,Personal Loan,1402613.0,13.64,5,32373.0,2021-06-16,2026-06-15,1311969.0,4,60,0,Active,None,BR032,614
LN000055,CUST02279,Education Loan,185132.0,12.46,7,3313.0,2020-07-16,2027-07-15,108602.0,33,84,0,Active,None,BR019,731
LN000056,CUST02136,Car Loan,841471.0,11.73,5,18604.0,2024-01-07,2029-01-05,528924.0,24,60,30,Special Mention,Vehicle,BR038,665
LN000057,CUST01329,Gold Loan,126667.0,9.72,3,4070.0,2023-07-03,2026-07-02,69687.0,20,36,365,NPA,Gold,BR006,638
LN000058,CUST01947,Home Loan,5238677.0,8.02,7,81705.0,2022-05-04,2029-05-02,2664970.0,45,84,30,Special Mention,Property,BR035,714
LN000059,CUST01717,Credit Card Loan,30642.0,18.06,7,645.0,2022-06-08,2029-06-06,18903.0,26,84,0,Active,None,BR008,704
LN000060,CUST01767,Home Loan,5769264.0,7.22,15,52559.0,2022-07-29,2037-07-25,5143812.0,17,180,180,NPA,Property,BR038,844
LN000061,CUST00160,Home Loan,10821915.0,7.81,15,102224.0,2023-01-21,2038-01-17,7458745.0,47,180,30,Special Mention,Property,BR014,739
LN000062,CUST01876,Education Loan,531936.0,12.12,7,9423.0,2021-11-18,2028-11-16,347245.0,28,84,60,Special Mention,None,BR004,816
LN000063,CUST01117,Personal Loan,170940.0,14.2,3,5859.0,2023-04-15,2026-04-14,31496.0,34,36,0,Active,None,BR048,830
LN000064,CUST01715,Home Loan,3635869.0,7.39,2,163434.0,2023-09-20,2025-09-19,2606235.0,9,24,0,Active,Property,BR021,655
LN000065,CUST02075,Gold Loan,309310.0,12.43,3,10338.0,2020-04-14,2023-04-14,280364.0,4,36,0,Active,Gold,BR046,651
LN000066,CUST01683,Gold Loan,457799.0,9.23,7,7419.0,2021-12-16,2028-12-14,431832.0,5,84,0,Active,Gold,BR013,632
LN000067,CUST02212,Personal Loan,1009970.0,13.22,3,34139.0,2024-04-20,2027-04-20,412538.0,25,36,60,Special Mention,None,BR037,735
LN000068,CUST01087,Gold Loan,416178.0,10.77,2,19353.0,2023-10-15,2025-10-14,389084.0,2,24,0,Active,Gold,BR027,754
LN000069,CUST00529,Education Loan,1200810.0,11.59,2,56296.0,2020-02-13,2022-02-12,1003774.0,5,24,90,NPA,None,BR018,774
LN000070,CUST01137,Gold Loan,479261.0,12.29,2,22625.0,2022-07-04,2024-07-03,114998.0,23,24,0,Active,Gold,BR012,773
LN000071,CUST02970,Car Loan,2766186.0,9.39,1,242413.0,2021-10-20,2022-10-20,1408673.0,8,12,0,Active,Vehicle,BR041,790
LN000072,CUST02838,Education Loan,1874445.0,11.87,7,32955.0,2024-03-27,2031-03-26,1136253.0,32,84,0,Active,None,BR012,791
LN000073,CUST01916,Business Loan,7849150.0,11.96,5,174460.0,2021-01-11,2026-01-10,3330636.0,37,60,0,Active,None,BR003,690
LN000074,CUST01528,Car Loan,2163970.0,9.35,7,35206.0,2021-08-13,2028-08-11,1178202.0,40,84,0,Active,Vehicle,BR034,790
LN000075,CUST02949,Home Loan,14011517.0,7.51,20,112988.0,2023-11-04,2043-10-30,11164219.0,36,240,0,Active,Property,BR049,712
LN000076,CUST00634,Education Loan,1577202.0,12.66,3,52885.0,2021-07-18,2024-07-17,318539.0,34,36,60,Special Mention,None,BR004,680
LN000077,CUST01615,Education Loan,1919326.0,11.46,5,42173.0,2022-01-22,2027-01-21,1889805.0,1,60,0,Active,None,BR050,690
LN000078,CUST00607,Personal Loan,1429377.0,12.32,1,127214.0,2020-12-27,2021-12-27,1162228.0,3,12,30,Special Mention,None,BR022,649
LN000079,CUST00726,Car Loan,2649757.0,11.08,5,57711.0,2020-12-12,2025-12-11,1478224.0,29,60,0,Active,Vehicle,BR021,692
LN000080,CUST01791,Car Loan,2184685.0,9.89,2,100705.0,2020-02-19,2022-02-18,774815.0,20,24,0,Active,Vehicle,BR009,604
LN000081,CUST02310,Home Loan,11792388.0,10.8,2,548544.0,2024-01-30,2026-01-29,11024426.0,2,24,0,Active,Property,BR005,762
LN000082,CUST00536,Gold Loan,332722.0,9.27,5,6950.0,2023-09-02,2028-08-31,230557.0,21,60,0,Active,Gold,BR016,691
LN000083,CUST00915,Credit Card Loan,91404.0,17.22,3,3269.0,2020-12-10,2023-12-10,70809.0,9,36,30,Special Mention,None,BR017,683
LN000084,CUST00861,Personal Loan,595567.0,13.72,7,11068.0,2024-03-13,2031-03-12,549081.0,6,84,0,Active,None,BR007,727
LN000085,CUST00265,Business Loan,6282513.0,11.38,1,556368.0,2024-03-29,2025-03-29,1998479.0,11,12,0,Active,None,BR033,706
LN000086,CUST00719,Home Loan,9749439.0,10.84,1,860950.0,2020-07-20,2021-07-20,9749439.0,0,12,0,Active,Property,BR041,670
LN000087,CUST01826,Home Loan,2536089.0,9.44,1,222304.0,2020-10-19,2021-10-19,2224863.0,2,12,0,Active,Property,BR030,724
LN000088,CUST02866,Gold Loan,224478.0,9.58,7,3678.0,2021-06-17,2028-06-15,136942.0,34,84,90,NPA,Gold,BR034,701
LN000089,CUST02362,Business Loan,3071114.0,13.93,7,57433.0,2022-09-28,2029-09-26,1503193.0,39,84,60,Special Mention,None,BR020,624
LN000090,CUST01839,Gold Loan,174128.0,9.28,1,15251.0,2022-01-31,2023-01-31,67371.0,10,12,0,Active,Gold,BR008,693
LN000091,CUST02276,Car Loan,2394878.0,8.53,2,108896.0,2020-07-07,2022-07-07,2166196.0,3,24,30,Special Mention,Vehicle,BR044,647
LN000092,CUST01502,Gold Loan,380561.0,8.98,3,12097.0,2023-12-18,2026-12-17,202735.0,21,36,30,Special Mention,Gold,BR045,821
LN000093,CUST01549,Gold Loan,373033.0,10.81,2,17354.0,2022-12-14,2024-12-13,287998.0,7,24,60,Special Mention,Gold,BR046,746
LN000094,CUST02196,Credit Card Loan,44367.0,20.36,3,1657.0,2023-08-22,2026-08-21,32768.0,10,36,0,Active,None,BR013,670
LN000095,CUST00591,Personal Loan,632964.0,12.04,3,21037.0,2022-05-30,2025-05-29,308994.0,22,36,0,Active,None,BR049,722
LN000096,CUST02519,Education Loan,1477670.0,10.49,3,48018.0,2020-12-11,2023-12-11,973481.0,15,36,0,Active,None,BR006,701
LN000097,CUST00353,Home Loan,11281180.0,8.18,30,84163.0,2022-08-13,2052-08-05,8630046.0,45,360,0,Active,Property,BR049,752
LN000098,CUST02251,Education Loan,1574826.0,12.01,3,52317.0,2022-08-01,2025-07-31,915632.0,18,36,0,Active,None,BR042,694
LN000099,CUST00825,Education Loan,474132.0,12.81,2,22500.0,2022-03-19,2024-03-18,395382.0,5,24,0,Active,None,BR006,840
LN000100,CUST01360,Home Loan,4075175.0,7.96,3,127617.0,2024-01-30,2027-01-29,2288537.0,20,36,60,Special Mention,Property,BR009,707
LN000101,CUST01474,Business Loan,1374640.0,13.42,2,65625.0,2022-06-07,2024-06-06,1236828.0,3,24,0,Active,None,BR038,708
LN000102,CUST02487,Personal Loan,340945.0,13.31,1,30502.0,2022-07-25,2023-07-25,276891.0,3,12,0,Active,None,BR014,766
LN000103,CUST01184,Gold Loan,320308.0,9.65,2,14729.0,2023-07-18,2025-07-17,258446.0,6,24,0,Active,Gold,BR020,625
LN000104,CUST02972,Credit Card Loan,188329.0,16.52,5,4632.0,2021-11-11,2026-11-10,39179.0,46,60,60,Special Mention,None,BR024,709
LN000105,CUST00250,Credit Card Loan,58204.0,20.36,1,5402.0,2021-04-04,2022-04-04,35516.0,6,12,0,Active,None,BR028,724
LN000106,CUST00004,Credit Card Loan,19382.0,19.4,3,714.0,2021-12-19,2024-12-18,9886.0,19,36,0,Active,None,BR040,801
LN000107,CUST02263,Gold Loan,207559.0,10.56,2,9632.0,2023-08-10,2025-08-09,180589.0,4,24,0,Active,Gold,BR039,787
LN000108,CUST00174,Gold Loan,424214.0,9.06,2,19392.0,2020-11-05,2022-11-05,315619.0,8,24,0,Active,Gold,BR029,734
LN000109,CUST01420,Education Loan,1018233.0,11.7,7,17814.0,2024-03-24,2031-03-23,669079.0,28,84,60,Special Mention,None,BR039,715
LN000110,CUST00580,Home Loan,14339323.0,7.49,1,1244008.0,2023-05-01,2024-04-30,13468517.0,1,12,0,Active,Property,BR009,772
LN000111,CUST01555,Car Loan,439138.0,10.09,3,14188.0,2020-11-11,2023-11-11,270301.0,17,36,0,Active,Vehicle,BR042,725
LN000112,CUST02902,Car Loan,2260531.0,8.39,1,197044.0,2020-05-14,2021-05-14,605361.0,12,12,0,Active,Vehicle,BR039,677
LN000113,CUST01934,Home Loan,7307426.0,7.78,15,68921.0,2023-10-11,2038-10-07,5377638.0,40,180,0,Active,Property,BR049,717
LN000114,CUST01649,Education Loan,1684263.0,10.02,3,54363.0,2020-04-15,2023-04-15,885127.0,21,36,0,Active,None,BR037,764
LN000115,CUST00474,Credit Card Loan,117012.0,18.76,7,2512.0,2023-02-20,2030-02-18,113495.0,2,84,60,Special Mention,None,BR036,796
LN000116,CUST01978,Credit Card Loan,30291.0,16.8,2,1495.0,2023-08-04,2025-08-03,17733.0,12,24,90,NPA,None,BR036,761
LN000117,CUST02114,Business Loan,2432339.0,11.34,1,215358.0,2021-12-06,2022-12-06,1980087.0,3,12,30,Special Mention,None,BR001,637
LN000118,CUST01903,Business Loan,7046708.0,10.64,7,119316.0,2024-04-26,2031-04-25,3204733.0,46,84,0,Active,None,BR011,760
LN000119,CUST02405,Car Loan,1222846.0,10.19,7,20418.0,2020-08-14,2027-08-13,979872.0,17,84,0,Active,Vehicle,BR035,791
LN000120,CUST00027,Gold Loan,252849.0,9.76,1,22201.0,2022-05-20,2023-05-20,66361.0,12,12,0,Active,Gold,BR020,641
LN000121,CUST02535,Education Loan,1300962.0,11.0,3,42591.0,2023-06-24,2026-06-23,436365.0,29,36,180,NPA,None,BR028,672
LN000122,CUST01978,Business Loan,5457287.0,11.23,5,119280.0,2022-06-12,2027-06-11,2117447.0,40,60,0,Active,None,BR036,761
LN000123,CUST00204,Education Loan,1401718.0,12.03,3,46577.0,2021-11-01,2024-10-31,749640.0,20,36,0,Active,None,BR041,900
LN000124,CUST01081,Personal Loan,1320942.0,12.7,3,44318.0,2023-12-22,2026-12-21,1072761.0,8,36,0,Active,None,BR008,687
LN000125,CUST02006,Education Loan,315110.0,12.14,5,7032.0,2023-11-26,2028-11-24,108369.0,42,60,0,Active,None,BR047,715
LN000126,CUST01783,Business Loan,6417797.0,10.79,2,298498.0,2020-12-06,2022-12-06,1820928.0,22,24,0,Active,None,BR042,611
LN000127,CUST02888,Business Loan,2146974.0,10.83,3,70115.0,2024-03-19,2027-03-19,723640.0,29,36,0,Active,None,BR008,776
LN000128,CUST01597,Gold Loan,311869.0,10.19,1,27445.0,2023-01-23,2024-01-23,138966.0,9,12,0,Active,Gold,BR010,742
LN000129,CUST02634,Gold Loan,476971.0,8.74,1,41654.0,2021-12-25,2022-12-25,476971.0,0,12,0,Active,Gold,BR029,702
LN000130,CUST00424,Education Loan,1515948.0,10.86,5,32854.0,2023-12-02,2028-11-30,550040.0,42,60,0,Active,None,BR012,792
LN000131,CUST01658,Personal Loan,861137.0,12.99,3,29009.0,2024-01-17,2027-01-16,211335.0,32,36,0,Active,None,BR021,763
LN000132,CUST00903,Education Loan,1580574.0,12.74,3,53057.0,2021-11-30,2024-11-29,1394874.0,5,36,60,Special Mention,None,BR016,687
LN000133,CUST01930,Education Loan,839480.0,10.51,7,14160.0,2021-04-06,2028-04-04,601592.0,24,84,0,Active,None,BR003,883
LN000134,CUST00597,Business Loan,1706283.0,13.79,1,153036.0,2022-05-19,2023-05-19,635031.0,10,12,0,Active,None,BR043,686
LN000135,CUST01080,Home Loan,7734011.0,9.09,30,62757.0,2021-07-25,2051-07-18,5932885.0,41,360,0,Active,Property,BR010,803
LN000136,CUST01743,Car Loan,2749721.0,11.95,5,61094.0,2023-07-21,2028-07-19,1637810.0,26,60,0,Active,Vehicle,BR019,702
LN000137,CUST01882,Home Loan,1517145.0,8.42,15,14869.0,2020-10-24,2035-10-21,1090405.0,41,180,0,Active,Property,BR019,845
LN000138,CUST02068,Personal Loan,381673.0,12.11,7,6759.0,2024-03-09,2031-03-08,216078.0,35,84,0,Active,None,BR010,697
LN000139,CUST02017,Car Loan,1237616.0,9.2,1,108345.0,2023-01-02,2024-01-02,1085933.0,2,12,0,Active,Vehicle,BR002,814
LN000140,CUST02988,Business Loan,3787690.0,14.37,2,182523.0,2022-02-14,2024-02-14,721304.0,24,24,0,Active,None,BR045,705
LN000141,CUST00073,Credit Card Loan,153066.0,20.33,2,7815.0,2020-03-11,2022-03-11,81950.0,13,24,0,Active,None,BR007,701
LN000142,CUST02597,Education Loan,1304407.0,12.53,7,23400.0,2022-10-14,2029-10-12,1107847.0,12,84,30,Special Mention,None,BR006,646
LN000143,CUST01568,Gold Loan,188095.0,11.0,5,4090.0,2022-12-23,2027-12-22,133698.0,19,60,365,NPA,Gold,BR035,763
LN000144,CUST00896,Education Loan,1830200.0,11.35,5,40109.0,2023-07-29,2028-07-27,650995.0,42,60,0,Active,None,BR039,734
LN000145,CUST02988,Education Loan,1548111.0,11.2,3,50830.0,2023-02-24,2026-02-23,1370206.0,5,36,0,Active,None,BR045,705
LN000146,CUST00156,Credit Card Loan,30186.0,20.14,7,673.0,2020-10-08,2027-10-07,15582.0,31,84,365,NPA,None,BR036,664
LN000147,CUST00773,Car Loan,2577782.0,10.32,2,119335.0,2024-03-30,2026-03-30,907092.0,20,24,0,Active,Vehicle,BR049,733
LN000148,CUST00720,Credit Card Loan,13163.0,16.9,1,1200.0,2022-02-07,2023-02-07,10643.0,3,12,0,Active,None,BR006,716
LN000149,CUST01478,Car Loan,1155456.0,11.64,2,54198.0,2021-11-11,2023-11-11,814009.0,9,24,0,Active,Vehicle,BR018,708
LN000150,CUST00966,Credit Card Loan,46003.0,17.09,5,1145.0,2022-09-14,2027-09-13,29973.0,20,60,0,Active,None,BR050,773
LN000151,CUST00445,Credit Card Loan,35156.0,18.79,5,908.0,2022-04-05,2027-04-04,5283.0,47,60,0,Active,None,BR035,630
LN000152,CUST01061,Home Loan,1411773.0,9.66,1,123897.0,2023-01-17,2024-01-17,1151589.0,3,12,0,Active,Property,BR048,853
LN000153,CUST02826,Home Loan,3516439.0,7.4,3,109219.0,2020-06-08,2023-06-08,1987373.0,20,36,0,Active,Property,BR008,854
LN000154,CUST01256,Gold Loan,71143.0,9.9,5,1508.0,2022-05-12,2027-05-11,56365.0,14,60,0,Active,Gold,BR028,666
LN000155,CUST00043,Car Loan,1198007.0,11.36,5,26264.0,2020-11-30,2025-11-29,536154.0,36,60,180,NPA,Vehicle,BR027,679
LN000156,CUST00451,Gold Loan,343984.0,9.2,2,15747.0,2023-01-19,2025-01-18,134549.0,19,24,0,Active,Gold,BR050,685
LN000157,CUST00637,Personal Loan,1032877.0,14.17,7,19455.0,2020-08-23,2027-08-22,787744.0,18,84,0,Active,None,BR036,778
LN000158,CUST02957,Business Loan,7599809.0,13.46,2,362938.0,2024-04-28,2026-04-28,7599809.0,0,24,90,NPA,None,BR032,780
LN000159,CUST01178,Gold Loan,365270.0,10.56,1,32209.0,2020-08-13,2021-08-13,252538.0,5,12,0,Active,Gold,BR002,686
LN000160,CUST02637,Gold Loan,147491.0,9.9,3,4752.0,2021-06-09,2024-06-08,77637.0,21,36,60,Special Mention,Gold,BR002,724
LN000161,CUST02924,Car Loan,383231.0,10.85,1,33845.0,2021-08-19,2022-08-19,264774.0,5,12,0,Active,Vehicle,BR020,704
LN000162,CUST00444,Home Loan,7694299.0,9.54,7,125927.0,2020-11-04,2027-11-03,3815747.0,44,84,0,Active,Property,BR006,683
LN000163,CUST02437,Personal Loan,708700.0,12.58,2,33552.0,2022-01-07,2024-01-07,332918.0,16,24,0,Active,None,BR007,708
LN000164,CUST01247,Business Loan,2496773.0,11.51,1,221268.0,2023-09-14,2024-09-13,1412560.0,7,12,0,Active,None,BR014,716
LN000165,CUST01197,Car Loan,1098593.0,10.55,2,50973.0,2021-09-27,2023-09-27,1062912.0,1,24,0,Active,Vehicle,BR045,705
LN000166,CUST00248,Credit Card Loan,83675.0,16.63,3,2968.0,2021-09-28,2024-09-27,31735.0,25,36,0,Active,None,BR035,688
LN000167,CUST02549,Business Loan,7084007.0,13.98,3,242060.0,2020-03-01,2023-03-01,4203493.0,17,36,0,Active,None,BR009,900
LN000168,CUST01172,Car Loan,581955.0,11.53,3,19198.0,2023-09-18,2026-09-17,111604.0,35,36,0,Active,Vehicle,BR029,736
LN000169,CUST01658,Home Loan,14406135.0,10.3,2,666782.0,2023-02-08,2025-02-07,10205408.0,9,24,90,NPA,Property,BR021,763
LN000170,CUST01046,Personal Loan,956859.0,15.56,2,46649.0,2021-09-13,2023-09-13,467045.0,15,24,0,Active,None,BR019,889
LN000171,CUST01611,Home Loan,9879213.0,8.91,2,450919.0,2023-06-05,2025-06-04,4513277.0,17,24,90,NPA,Property,BR031,830
LN000172,CUST02586,Personal Loan,1126380.0,12.87,5,25553.0,2020-05-09,2025-05-08,643428.0,27,60,0,Active,None,BR002,655
LN000173,CUST00092,Gold Loan,124848.0,10.87,5,2707.0,2022-06-19,2027-06-18,33893.0,48,60,0,Active,Gold,BR010,746
LN000174,CUST02920,Personal Loan,1358729.0,15.46,3,47410.0,2022-06-08,2025-06-07,1060046.0,9,36,0,Active,None,BR045,783
LN000175,CUST02164,Home Loan,6094047.0,9.74,3,195908.0,2023-01-06,2026-01-05,3899877.0,16,36,0,Active,Property,BR013,770
LN000176,CUST00384,Gold Loan,332750.0,10.09,7,5540.0,2021-04-01,2028-03-30,332750.0,0,84,90,NPA,Gold,BR004,691
LN000177,CUST02631,Business Loan,7172657.0,12.03,1,637366.0,2022-09-12,2023-09-12,2711095.0,10,12,0,Active,None,BR035,725
LN000178,CUST01652,Business Loan,3590366.0,13.06,5,81801.0,2020-10-09,2025-10-08,2731456.0,15,60,30,Special Mention,None,BR013,739
LN000179,CUST02103,Home Loan,5576725.0,7.64,5,112108.0,2020-03-21,2025-03-20,3850262.0,22,60,0,Active,Property,BR042,652
LN000180,CUST02541,Credit Card Loan,198082.0,20.23,5,5274.0,2022-02-24,2027-02-23,57794.0,38,60,0,Active,None,BR046,673
LN000181,CUST01903,Personal Loan,704826.0,15.21,7,13683.0,2023-09-11,2030-09-09,503686.0,21,84,0,Active,None,BR011,760
LN000182,CUST01365,Gold Loan,190328.0,11.94,7,3354.0,2023-09-24,2030-09-22,148068.0,18,84,0,Active,Gold,BR007,785
LN000183,CUST01245,Car Loan,1987537.0,11.2,2,92815.0,2022-09-26,2024-09-25,1337832.0,10,24,0,Active,Vehicle,BR009,664
LN000184,CUST00525,Personal Loan,1168012.0,15.33,3,40681.0,2022-07-01,2025-06-30,683908.0,17,36,0,Active,None,BR027,661
LN000185,CUST01371,Credit Card Loan,33050.0,19.98,7,733.0,2020-12-27,2027-12-26,11500.0,42,84,30,Special Mention,None,BR050,685
LN000186,CUST00826,Business Loan,7227559.0,13.07,5,164707.0,2022-10-01,2027-09-30,1923994.0,46,60,0,Active,None,BR043,779
LN000187,CUST00488,Credit Card Loan,86732.0,20.31,7,1942.0,2024-03-14,2031-03-13,47309.0,29,84,0,Active,None,BR040,627
LN000188,CUST02405,Car Loan,1442346.0,8.6,2,65630.0,2022-03-03,2024-03-02,661349.0,17,24,0,Active,Vehicle,BR035,791
LN000189,CUST00433,Business Loan,2939699.0,12.23,3,97967.0,2020-12-08,2023-12-08,539508.0,35,36,0,Active,None,BR006,701
LN000190,CUST01467,Business Loan,2000079.0,13.98,7,37456.0,2021-02-17,2028-02-16,1161065.0,32,84,0,Active,None,BR016,825
