txn_id,account_id,customer_id,txn_date,txn_month,txn_year,txn_quarter,txn_hour,txn_day_of_week,txn_type,category,amount,channel,status,is_fraud,balance_after,description,reference_no
TXN0000056,ACC002206,CUST01573,2022-03-25,2022-03,2022,Q1,6,Friday,Credit,Salary Credit,247250.68,UPI,Success,0,595357.35,Salary Credit via UPI,REF180429718
TXN0000057,ACC003610,CUST02562,2020-12-31,2020-12,2020,Q4,0,Thursday,Debit,Rent,35625.14,UPI,Pending,0,1709589.55,Rent via UPI,REF421010952
TXN0000058,ACC000987,CUST00686,2022-01-27,2022-01,2022,Q1,23,Thursday,Debit,Government Services,5243.49,ATM,Success,0,363321.99,Government Services via ATM,REF996614778
TXN0000059,ACC002111,CUST01503,2020-01-05,2020-01,2020,Q1,21,Sunday,Debit,EMI Debit,41561.21,IMPS,Success,0,7698702.84,EMI Debit via IMPS,REF688619158
TXN0000060,ACC001903,CUST01354,2024-09-09,2024-09,2024,Q3,6,Monday,Debit,Food & Dining,3678.45,IMPS,Success,0,4256492.04,Food & Dining via IMPS,REF823788619
TXN0000061,ACC002484,CUST01764,2024-08-25,2024-08,2024,Q3,22,Sunday,Debit,Fund Transfer,634251.22,ATM,Success,0,203070.63,Fund Transfer via ATM,REF844794621
TXN0000062,ACC001590,CUST01134,2024-01-10,2024-01,2024,Q1,16,Wednesday,Debit,Tax Payment,413482.08,RTGS,Success,0,2426351.83,Tax Payment via RTGS,REF695105760
TXN0000063,ACC001155,CUST00812,2020-11-07,2020-11,2020,Q4,13,Saturday,Debit,Entertainment,281.37,Mobile Banking,Success,0,242236.26,Entertainment via Mobile Banking,REF272864929
TXN0000064,ACC000750,CUST00524,2020-03-08,2020-03,2020,Q1,13,Sunday,Credit,Cash Deposit,80665.91,UPI,Success,0,98517.56,Cash Deposit via UPI,REF624106990
TXN0000065,ACC000790,CUST00553,2024-04-06,2024-04,2024,Q2,6,Saturday,Debit,Medical,156159.0,RTGS,Success,0,0.0,Medical via RTGS,REF188451708
TXN0000066,ACC003336,CUST02362,2020-03-30,2020-03,2020,Q1,23,Monday,Debit,Travel,59873.11,ATM,Success,0,3362826.8,Travel via ATM,REF837830173
TXN0000067,ACC000022,CUST00016,2021-07-02,2021-07,2021,Q3,19,Friday,Credit,Cash Deposit,151638.14,UPI,Success,0,7262935.48,Cash Deposit via UPI,REF994754454
TXN0000068,ACC004052,CUST02865,2024-10-03,2024-10,2024,Q4,6,Thursday,Debit,EMI Debit,15806.63,Branch,Success,0,195310.32,EMI Debit via Branch,REF282277593
TXN0000069,ACC003426,CUST02428,2023-08-31,2023-08,2023,Q3,13,Thursday,Debit,Investment,350377.83,Net Banking,Success,0,14270.09,Investment via Net Banking,REF792930018
TXN0000070,ACC002972,CUST02103,2021-07-27,2021-07,2021,Q3,7,Tuesday,Debit,Rent,55468.32,IMPS,Success,0,8351709.6,Rent via IMPS,REF670388435
TXN0000071,ACC000491,CUST00342,2021-01-30,2021-01,2021,Q1,22,Saturday,Debit,Medical,65414.71,Mobile Banking,Success,0,774838.57,Medical via Mobile Banking,REF248595986
TXN0000072,ACC001950,CUST01389,2020-05-31,2020-05,2020,Q2,1,Sunday,Debit,EMI Debit,97089.09,Net Banking,Success,0,0.0,EMI Debit via Net Banking,REF298789412
TXN0000073,ACC004247,CUST02997,2022-01-29,2022-01,2022,Q1,10,Saturday,Credit,Salary Credit,121977.23,IMPS,Success,0,138442.65,Salary Credit via IMPS,REF702865890
TXN0000074,ACC003022,CUST02142,2020-07-09,2020-07,2020,Q3,2,Thursday,Debit,Utility Bills,2081.36,ATM,Success,0,290639.39,Utility Bills via ATM,REF901421062
TXN0000075,ACC003570,CUST02534,2023-07-14,2023-07,2023,Q3,7,Friday,Debit,Rent,95226.25,ATM,Success,0,15363733.3,Rent via ATM,REF575595245
TXN0000076,ACC003695,CUST02619,2022-04-27,2022-04,2022,Q2,10,Wednesday,Debit,Investment,454048.18,ATM,Success,0,2914992.11,Investment via ATM,REF155006669
TXN0000077,ACC000164,CUST00117,2024-11-26,2024-11,2024,Q4,12,Tuesday,Debit,Utility Bills,6273.8,Net Banking,Success,0,4521014.81,Utility Bills via Net Banking,REF641647828
TXN0000078,ACC000131,CUST00092,2024-05-05,2024-05,2024,Q2,12,Sunday,Debit,Rent,12914.61,Net Banking,Success,0,279627.28,Rent via Net Banking,REF446641914
TXN0000079,ACC000107,CUST00076,2022-07-29,2022-07,2022,Q3,17,Friday,Debit,Shopping,41348.79,ATM,Success,0,1290983.74,Shopping via ATM,REF181401731
TXN0000080,ACC000521,CUST00364,2021-06-01,2021-06,2021,Q2,11,Tuesday,Credit,Dividend,77847.69,IMPS,Failed,0,1758318.43,Dividend via IMPS,REF659737044
TXN0000081,ACC000836,CUST00583,2023-05-13,2023-05,2023,Q2,2,Saturday,Debit,Fund Transfer,195922.53,Mobile Banking,Success,0,277016.93,Fund Transfer via Mobile Banking,REF571183410
TXN0000082,ACC002830,CUST02007,2020-10-21,2020-10,2020,Q4,5,Wednesday,Debit,Insurance Premium,25656.89,Branch,Success,0,6426722.94,Insurance Premium via Branch,REF200122939
TXN0000083,ACC000148,CUST00105,2022-05-07,2022-05,2022,Q2,1,Saturday,Debit,Rent,33784.19,Net Banking,Success,0,123616.06,Rent via Net Banking,REF638682560
TXN0000084,ACC003652,CUST02589,2021-01-10,2021-01,2021,Q1,14,Sunday,Credit,Interest Credit,37617.41,NEFT,Success,0,316730.5,Interest Credit via NEFT,REF696508142
TXN0000085,ACC001046,CUST00728,2022-07-08,2022-07,2022,Q3,3,Friday,Debit,Tax Payment,170316.16,Branch,Success,0,0.0,Tax Payment via Branch,REF602049769
TXN0000086,ACC001536,CUST01095,2021-12-08,2021-12,2021,Q4,20,Wednesday,Credit,Cash Deposit,60584.58,ATM,Success,0,231758.18,Cash Deposit via ATM,REF763216117
TXN0000087,ACC003426,CUST02428,2020-06-22,2020-06,2020,Q2,20,Monday,Debit,Rent,77677.96,ATM,Success,0,288503.36,Rent via ATM,REF809213559
TXN0000088,ACC003325,CUST02354,2022-08-14,2022-08,2022,Q3,12,Sunday,Credit,Interest Credit,774.01,NEFT,Success,0,4574097.38,Interest Credit via NEFT,REF175188257
TXN0000089,ACC004126,CUST02917,2024-02-12,2024-02,2024,Q1,19,Monday,Debit,Tax Payment,178669.19,Branch,Success,0,876870.84,Tax Payment via Branch,REF504950957
TXN0000090,ACC003879,CUST02749,2022-04-19,2022-04,2022,Q2,7,Tuesday,Debit,EMI Debit,81480.5,NEFT,Success,0,97834.55,EMI Debit via NEFT,REF207757350
TXN0000091,ACC002500,CUST01776,2023-02-26,2023-02,2023,Q1,23,Sunday,Debit,Rent,50140.05,IMPS,Success,0,1944112.1,Rent via IMPS,REF584591253
TXN0000092,ACC001653,CUST01176,2024-01-07,2024-01,2024,Q1,13,Sunday,Credit,Cash Deposit,181923.98,RTGS,Pending,0,371326.43,Cash Deposit via RTGS,REF162651663
TXN0000093,ACC003923,CUST02782,2023-04-26,2023-04,2023,Q2,12,Wednesday,Debit,Shopping,14395.99,Mobile Banking,Success,0,3540706.73,Shopping via Mobile Banking,REF122510642
TXN0000094,ACC002160,CUST01540,2021-10-04,2021-10,2021,Q4,8,Monday,Debit,Rent,58374.82,Branch,Success,0,64821.11,Rent via Branch,REF170326904
TXN0000095,ACC001474,CUST01046,2023-12-21,2023-12,2023,Q4,15,Thursday,Debit,Tax Payment,5672.48,Mobile Banking,Success,0,254210.86,Tax Payment via Mobile Banking,REF702686395
TXN0000096,ACC001761,CUST01252,2020-12-27,2020-12,2020,Q4,17,Sunday,Credit,Cash Deposit,12888.29,Mobile Banking,Success,0,238504.67,Cash Deposit via Mobile Banking,REF866793658
TXN0000097,ACC002132,CUST01519,2022-10-13,2022-10,2022,Q4,18,Thursday,Debit,Investment,373484.48,Mobile Banking,Success,0,4261500.73,Investment via Mobile Banking,REF428208649
TXN0000098,ACC001087,CUST00760,2022-03-25,2022-03,2022,Q1,11,Friday,Debit,Education,149313.52,RTGS,Success,0,2704377.54,Education via RTGS,REF544596491
TXN0000099,ACC003554,CUST02524,2021-11-04,2021-11,2021,Q4,4,Thursday,Credit,Refund,4879.13,NEFT,Failed,0,760593.43,Refund via NEFT,REF867272235
TXN0000100,ACC003798,CUST02694,2021-12-10,2021-12,2021,Q4,3,Friday,Debit,Tax Payment,95117.2,Branch,Failed,0,13811881.61,Tax Payment via Branch,REF792401573
TXN0000101,ACC001395,CUST00987,2020-09-03,2020-09,2020,Q3,19,Thursday,Debit,Investment,450983.38,NEFT,Success,0,44585.86,Investment via NEFT,REF762710423
TXN0000102,ACC000729,CUST00512,2023-12-06,2023-12,2023,Q4,20,Wednesday,Debit,Fund Transfer,993619.97,IMPS,Success,0,0.0,Fund Transfer via IMPS,REF749375314
TXN0000103,ACC003811,CUST02700,2023-07-02,2023-07,2023,Q3,18,Sunday,Debit,Shopping,1361.69,RTGS,Success,0,393505.55,Shopping via RTGS,REF360383606
TXN0000104,ACC003787,CUST02686,2024-03-10,2024-03,2024,Q1,8,Sunday,Credit,Dividend,7216.18,IMPS,Failed,0,497352.3,Dividend via IMPS,REF750318416
TXN0000105,ACC003617,CUST02566,2023-12-03,2023-12,2023,Q4,22,Sunday,Credit,Dividend,57376.53,ATM,Success,0,7356093.27,Dividend via ATM,REF936494219
TXN0000106,ACC002061,CUST01467,2024-01-06,2024-01,2024,Q1,7,Saturday,Debit,Food & Dining,2815.67,NEFT,Success,0,4390451.66,Food & Dining via NEFT,REF750800237
TXN0000107,ACC002950,CUST02085,2020-01-17,2020-01,2020,Q1,14,Friday,Credit,Cash Deposit,126862.4,ATM,Success,0,1329595.21,Cash Deposit via ATM,REF391934689
TXN0000108,ACC001871,CUST01330,2023-04-08,2023-04,2023,Q2,14,Saturday,Debit,Cash Withdrawal,17046.8,Mobile Banking,Failed,0,6728572.24,Cash Withdrawal via Mobile Banking,REF655017520
TXN0000109,ACC002599,CUST01842,2020-03-22,2020-03,2020,Q1,17,Sunday,Debit,Travel,74225.79,NEFT,Success,0,3392507.23,Travel via NEFT,REF659296568
TXN0000110,ACC003540,CUST02514,2023-11-15,2023-11,2023,Q4,2,Wednesday,Debit,Entertainment,3227.22,IMPS,Success,0,281471.73,Entertainment via IMPS,REF111870548
TXN0000111,ACC001202,CUST00846,2020-12-23,2020-12,2020,Q4,10,Wednesday,Debit,Government Services,1816.24,Mobile Banking,Success,0,271028.02,Government Services via Mobile Banking,REF829202066
TXN0000112,ACC003577,CUST02539,2020-11-19,2020-11,2020,Q4,13,Thursday,Credit,Interest Credit,49937.89,IMPS,Success,0,393166.04,Interest Credit via IMPS,REF779793237
TXN0000113,ACC002014,CUST01432,2021-12-12,2021-12,2021,Q4,17,Sunday,Debit,EMI Debit,52653.44,Mobile Banking,Success,0,49413.64,EMI Debit via Mobile Banking,REF916190174
TXN0000114,ACC000260,CUST00183,2020-12-26,2020-12,2020,Q4,1,Saturday,Debit,Government Services,3364.13,ATM,Success,0,208876.24,Government Services via ATM,REF559054448
TXN0000115,ACC001291,CUST00912,2023-10-24,2023-10,2023,Q4,4,Tuesday,Credit,Salary Credit,273552.31,UPI,Success,0,583976.98,Salary Credit via UPI,REF283150551
TXN0000116,ACC000940,CUST00652,2020-09-12,2020-09,2020,Q3,22,Saturday,Debit,Medical,194062.81,IMPS,Success,0,0.0,Medical via IMPS,REF861719144
TXN0000117,ACC001236,CUST00873,2024-02-26,2024-02,2024,Q1,16,Monday,Debit,Shopping,45663.17,NEFT,Success,0,6367.62,Shopping via NEFT,REF608333259
TXN0000118,ACC000453,CUST00318,2022-10-01,2022-10,2022,Q4,23,Saturday,Credit,Salary Credit,252420.84,Mobile Banking,Success,0,473245.35,Salary Credit via Mobile Banking,REF568355680
TXN0000119,ACC002465,CUST01749,2021-03-25,2021-03,2021,Q1,16,Thursday,Debit,EMI Debit,25746.49,Net Banking,Success,0,0.0,EMI Debit via Net Banking,REF215462365
TXN0000120,ACC004210,CUST02973,2022-09-17,2022-09,2022,Q3,4,Saturday,Debit,Food & Dining,4688.62,RTGS,Success,0,23453.12,Food & Dining via RTGS,REF829701545
TXN0000121,ACC003583,CUST02543,2023-08-15,2023-08,2023,Q3,2,Tuesday,Credit,Interest Credit,35641.6,NEFT,Success,0,60964.76,Interest Credit via NEFT,REF211646734
TXN0000122,ACC003364,CUST02379,2024-04-19,2024-04,2024,Q2,17,Friday,Credit,Cash Deposit,28567.12,IMPS,Success,0,4929392.81,Cash Deposit via IMPS,REF739192821
TXN0000123,ACC002131,CUST01518,2022-01-30,2022-01,2022,Q1,5,Sunday,Credit,Cash Deposit,187665.18,NEFT,Success,0,6038863.86,Cash Deposit via NEFT,REF790789663
TXN0000124,ACC003268,CUST02312,2024-12-15,2024-12,2024,Q4,16,Sunday,Debit,Education,170468.85,ATM,Success,0,51279.31,Education via ATM,REF472206605
TXN0000125,ACC000497,CUST00347,2020-12-08,2020-12,2020,Q4,1,Tuesday,Credit,Salary Credit,407112.4,Net Banking,Success,0,421950.79,Salary Credit via Net Banking,REF344931712
TXN0000126,ACC001509,CUST01073,2023-11-25,2023-11,2023,Q4,16,Saturday,Debit,Utility Bills,6114.7,Mobile Banking,Success,0,8922097.78,Utility Bills via Mobile Banking,REF556653811
TXN0000127,ACC003316,CUST02347,2020-12-09,2020-12,2020,Q4,3,Wednesday,Credit,Interest Credit,18088.89,RTGS,Pending,0,229735.12,Interest Credit via RTGS,REF940273254
TXN0000128,ACC002335,CUST01657,2022-01-15,2022-01,2022,Q1,11,Saturday,Debit,Fund Transfer,977679.21,RTGS,Success,0,2315829.47,Fund Transfer via RTGS,REF242007160
TXN0000129,ACC001629,CUST01163,2022-11-26,2022-11,2022,Q4,9,Saturday,Debit,EMI Debit,54909.06,IMPS,Success,0,10466338.87,EMI Debit via IMPS,REF225304319
TXN0000130,ACC003696,CUST02620,2024-01-27,2024-01,2024,Q1,3,Saturday,Debit,Tax Payment,418162.71,ATM,Success,0,0.0,Tax Payment via ATM,REF162599793
TXN0000131,ACC003612,CUST02563,2024-08-26,2024-08,2024,Q3,2,Monday,Debit,Entertainment,4662.39,UPI,Success,0,454067.56,Entertainment via UPI,REF165957088
TXN0000132,ACC000843,CUST00587,2024-05-26,2024-05,2024,Q2,17,Sunday,Credit,Dividend,68935.72,NEFT,Success,0,1122732.64,Dividend via NEFT,REF191164619
TXN0000133,ACC000262,CUST00185,2024-05-07,2024-05,2024,Q2,7,Tuesday,Debit,Fund Transfer,109148.12,IMPS,Success,0,251532.92,Fund Transfer via IMPS,REF365213001
TXN0000134,ACC001434,CUST01019,2024-03-01,2024-03,2024,Q1,21,Friday,Debit,Government Services,8443.02,Mobile Banking,Success,0,3298479.52,Government Services via Mobile Banking,REF678711140
TXN0000135,ACC001944,CUST01385,2024-06-02,2024-06,2024,Q2,23,Sunday,Debit,Entertainment,398.89,ATM,Success,0,332303.56,Entertainment via ATM,REF694364645
TXN0000136,ACC003384,CUST02395,2023-05-05,2023-05,2023,Q2,10,Friday,Debit,Investment,117434.23,UPI,Success,0,4542158.13,Investment via UPI,REF522681081
TXN0000137,ACC003740,CUST02653,2024-12-22,2024-12,2024,Q4,21,Sunday,Debit,Travel,64992.82,IMPS,Success,0,123526.19,Travel via IMPS,REF577878245
TXN0000138,ACC001868,CUST01327,2020-10-06,2020-10,2020,Q4,21,Tuesday,Credit,Refund,15583.65,Branch,Success,0,241788.72,Refund via Branch,REF831170055
TXN0000139,ACC001749,CUST01244,2020-05-15,2020-05,2020,Q2,13,Friday,Debit,Shopping,5272.63,Branch,Success,0,85692.12,Shopping via Branch,REF559276635
TXN0000140,ACC000604,CUST00424,2022-03-22,2022-03,2022,Q1,2,Tuesday,Debit,Rent,12536.99,Branch,Success,0,443409.36,Rent via Branch,REF628757207
TXN0000141,ACC000488,CUST00340,2024-08-20,2024-08,2024,Q3,5,Tuesday,Debit,Food & Dining,1744.46,RTGS,Success,0,122543.78,Food & Dining via RTGS,REF842858368
TXN0000142,ACC000044,CUST00035,2023-06-04,2023-06,2023,Q2,9,Sunday,Credit,Dividend,41215.49,UPI,Success,0,2370132.24,Dividend via UPI,REF483690723
TXN0000143,ACC003962,CUST02808,2023-07-20,2023-07,2023,Q3,23,Thursday,Debit,Rent,8087.76,UPI,Success,0,5369563.34,Rent via UPI,REF721999999
TXN0000144,ACC000387,CUST00277,2020-07-12,2020-07,2020,Q3,3,Sunday,Debit,Entertainment,1408.44,IMPS,Failed,0,8945703.78,Entertainment via IMPS,REF421477886
TXN0000145,ACC001665,CUST01184,2023-07-13,2023-07,2023,Q3,9,Thursday,Credit,Interest Credit,8063.34,Net Banking,Success,0,451491.96,Interest Credit via Net Banking,REF753017868
TXN0000146,ACC002531,CUST01796,2023-10-16,2023-10,2023,Q4,21,Monday,Credit,Cash Deposit,15417.11,UPI,Success,0,284308.94,Cash Deposit via UPI,REF897019576
TXN0000147,ACC003771,CUST02674,2021-02-27,2021-02,2021,Q1,2,Saturday,Debit,Shopping,47899.47,Branch,Pending,0,181966.6,Shopping via Branch,REF766928903
TXN0000148,ACC000384,CUST00274,2022-02-08,2022-02,2022,Q1,2,Tuesday,Debit,Government Services,5302.17,RTGS,Success,0,152322.86,Government Services via RTGS,REF852977368
TXN0000149,ACC004094,CUST02895,2020-05-28,2020-05,2020,Q2,16,Thursday,Debit,Travel,57887.47,ATM,Success,0,0.0,Travel via ATM,REF291887265
