ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_hours,channel,satisfaction_score,agent_id
TKT000044,CUST00044,Fraud Report,Critical,Resolved,2024-12-26,2024-12-26,4.0,Chat,5.0,AGT043
TKT000045,CUST01841,ATM Issue,Medium,Open,2022-08-27,,,App,,AGT018
TKT000046,CUST00690,Interest Query,Low,Resolved,2020-02-12,2020-02-18,160.0,Branch,1.0,AGT005
TKT000047,CUST02504,Fraud Report,Critical,Resolved,2020-07-23,2020-07-29,130.0,Branch,5.0,AGT023
TKT000048,CUST01921,General Query,Medium,Resolved,2022-10-02,2022-10-07,126.0,App,5.0,AGT049
TKT000049,CUST00847,Loan Query,Medium,In Progress,2024-08-12,,,App,,AGT024
TKT000050,CUST02449,Fraud Report,Critical,Resolved,2023-05-04,2023-05-10,146.0,Email,4.0,AGT049
TKT000051,CUST02051,Loan Query,Low,Open,2022-02-03,,,Branch,,AGT044
TKT000052,CUST02583,Account Opening,High,Resolved,2022-10-16,2022-10-16,4.0,Email,2.0,AGT028
TKT000053,CUST01555,Account Opening,Low,In Progress,2024-12-05,,,App,,AGT030
TKT000054,CUST02817,Transaction Dispute,Low,Resolved,2021-11-05,2021-11-08,84.0,Branch,5.0,AGT031
TKT000055,CUST01921,General Query,Medium,Resolved,2021-02-20,2021-02-23,75.0,Chat,3.0,AGT007
TKT000056,CUST02888,Account Opening,Low,Resolved,2021-06-08,2021-06-08,20.0,Branch,2.0,AGT040
TKT000057,CUST00177,General Query,Medium,In Progress,2022-04-28,,,Email,,AGT032
TKT000058,CUST00482,KYC Update,Low,Resolved,2023-04-12,2023-04-14,48.0,Email,5.0,AGT031
TKT000059,CUST00138,Net Banking Issue,Low,Resolved,2022-02-01,2022-02-03,45.0,App,5.0,AGT037
TKT000060,CUST02462,ATM Issue,Low,Resolved,2023-04-03,2023-04-09,157.0,Branch,3.0,AGT030
TKT000061,CUST01384,KYC Update,Low,Resolved,2022-09-04,2022-09-07,73.0,App,1.0,AGT045
TKT000062,CUST00540,Net Banking Issue,High,Resolved,2024-10-13,2024-10-19,148.0,Phone,3.0,AGT037
TKT000063,CUST01398,Card Issue,Low,Resolved,2023-12-04,2023-12-06,30.0,Email,5.0,AGT021
TKT000064,CUST01605,Fraud Report,Critical,Resolved,2022-11-27,2022-11-28,10.0,Chat,4.0,AGT001
TKT000065,CUST00088,Loan Query,Critical,Resolved,2020-07-06,2020-07-12,128.0,Email,1.0,AGT036
TKT000066,CUST01593,Interest Query,High,Resolved,2022-04-29,2022-05-04,113.0,Email,2.0,AGT047
TKT000067,CUST02258,Net Banking Issue,Low,Resolved,2024-10-17,2024-10-18,22.0,App,3.0,AGT023
TKT000068,CUST00202,ATM Issue,Critical,In Progress,2023-12-21,,,Branch,,AGT004
TKT000069,CUST00978,General Query,Low,Resolved,2024-12-19,2024-12-21,62.0,Phone,3.0,AGT049
TKT000070,CUST01221,Loan Query,Low,Resolved,2023-12-13,2023-12-20,153.0,Phone,1.0,AGT031
TKT000071,CUST02020,Card Issue,Medium,Resolved,2021-10-16,2021-10-22,133.0,Chat,5.0,AGT031
TKT000072,CUST02668,Account Opening,Medium,Resolved,2020-10-06,2020-10-10,83.0,Phone,1.0,AGT031
TKT000073,CUST02935,Card Issue,Medium,Resolved,2021-03-13,2021-03-14,22.0,Email,1.0,AGT024
TKT000074,CUST02168,Transaction Dispute,Critical,Resolved,2023-05-08,2023-05-12,108.0,Branch,2.0,AGT028
TKT000075,CUST02917,ATM Issue,Low,Resolved,2020-08-09,2020-08-12,76.0,Phone,1.0,AGT049
TKT000076,CUST00346,Interest Query,Low,Resolved,2020-12-06,2020-12-12,138.0,Phone,4.0,AGT033
TKT000077,CUST00520,Card Issue,Critical,Resolved,2023-09-24,2023-09-26,52.0,Chat,1.0,AGT043
TKT000078,CUST02153,Account Opening,High,Resolved,2024-06-15,2024-06-19,89.0,App,2.0,AGT006
TKT000079,CUST01562,Transaction Dispute,High,Resolved,2023-06-30,2023-07-03,72.0,App,1.0,AGT039
TKT000080,CUST00337,KYC Update,Low,Resolved,2024-11-09,2024-11-10,32.0,Phone,4.0,AGT041
TKT000081,CUST02818,Loan Query,Medium,Resolved,2023-12-19,2023-12-24,120.0,Chat,5.0,AGT033
TKT000082,CUST01601,Fraud Report,Critical,Resolved,2024-11-26,2024-11-29,70.0,Branch,1.0,AGT021
TKT000083,CUST02511,Transaction Dispute,Medium,Resolved,2024-09-16,2024-09-18,27.0,Email,2.0,AGT024
TKT000084,CUST02748,KYC Update,Low,Resolved,2021-05-09,2021-05-13,104.0,Email,1.0,AGT003
TKT000085,CUST02160,Transaction Dispute,Medium,Resolved,2024-08-18,2024-08-23,132.0,Phone,5.0,AGT041
TKT000086,CUST01800,General Query,Critical,Open,2020-03-09,,,Branch,,AGT007
TKT000087,CUST00872,Net Banking Issue,Low,Resolved,2021-07-07,2021-07-11,89.0,Phone,2.0,AGT030
TKT000088,CUST01580,Transaction Dispute,Low,Resolved,2022-06-25,2022-07-01,159.0,Email,5.0,AGT048
TKT000089,CUST01645,Card Issue,Low,Resolved,2020-01-25,2020-01-30,120.0,Branch,3.0,AGT011
TKT000090,CUST01423,KYC Update,Low,Resolved,2020-09-07,2020-09-07,5.0,Email,1.0,AGT022
TKT000091,CUST02733,Transaction Dispute,Low,Resolved,2022-01-14,2022-01-21,163.0,Branch,2.0,AGT009
TKT000092,CUST00418,Loan Query,High,Resolved,2020-03-03,2020-03-08,118.0,Chat,4.0,AGT004
TKT000093,CUST02405,Fraud Report,Critical,Resolved,2022-02-21,2022-02-24,78.0,Email,1.0,AGT005
TKT000094,CUST00340,Interest Query,Low,Resolved,2020-04-07,2020-04-08,34.0,Branch,5.0,AGT042
TKT000095,CUST01786,ATM Issue,High,Resolved,2024-04-04,2024-04-11,160.0,Chat,1.0,AGT020
TKT000096,CUST02681,Loan Query,Low,Resolved,2020-09-12,2020-09-16,80.0,Branch,4.0,AGT036
TKT000097,CUST02351,Fraud Report,Critical,Open,2023-09-14,,,Branch,,AGT015
TKT000098,CUST02477,Transaction Dispute,Critical,Resolved,2020-10-16,2020-10-22,140.0,Branch,4.0,AGT046
TKT000099,CUST00826,Card Issue,Low,Open,2020-12-06,,,App,,AGT001
TKT000100,CUST02045,General Query,Low,Resolved,2021-10-14,2021-10-16,63.0,Phone,2.0,AGT023
TKT000101,CUST02715,Fraud Report,Critical,In Progress,2020-07-13,,,Phone,,AGT047
TKT000102,CUST02167,Loan Query,Critical,Resolved,2022-03-14,2022-03-21,162.0,Phone,4.0,AGT018
TKT000103,CUST01534,Net Banking Issue,Low,Resolved,2020-08-26,2020-08-29,76.0,Chat,3.0,AGT011
TKT000104,CUST01289,Net Banking Issue,High,Resolved,2021-01-01,2021-01-01,13.0,Phone,4.0,AGT001
TKT000105,CUST02014,Fraud Report,Critical,Resolved,2021-01-19,2021-01-22,68.0,Phone,3.0,AGT042
TKT000106,CUST01248,Interest Query,Low,In Progress,2022-02-22,,,Chat,,AGT013
TKT000107,CUST02065,Account Opening,Medium,Resolved,2022-08-20,2022-08-24,104.0,App,1.0,AGT026
TKT000108,CUST02128,Loan Query,Medium,Resolved,2023-09-26,2023-10-02,151.0,Branch,2.0,AGT022
TKT000109,CUST02192,Card Issue,Medium,Resolved,2021-04-30,2021-05-02,52.0,Email,1.0,AGT006
TKT000110,CUST01585,Fraud Report,Critical,Resolved,2021-05-12,2021-05-17,103.0,Branch,5.0,AGT030
TKT000111,CUST00213,Loan Query,Low,Resolved,2022-09-21,2022-09-28,164.0,Email,1.0,AGT015
TKT000112,CUST00754,Transaction Dispute,Low,Resolved,2020-06-22,2020-06-23,24.0,Phone,3.0,AGT042
TKT000113,CUST02421,KYC Update,Medium,Resolved,2024-05-31,2024-06-07,168.0,Branch,3.0,AGT017
TKT000114,CUST02305,Fraud Report,Critical,Resolved,2022-10-16,2022-10-16,13.0,Chat,2.0,AGT029
TKT000115,CUST00686,General Query,Critical,Resolved,2023-12-26,2023-12-31,132.0,App,5.0,AGT010
TKT000116,CUST02058,ATM Issue,Medium,Resolved,2021-05-15,2021-05-16,46.0,Phone,1.0,AGT012
TKT000117,CUST02972,Loan Query,Medium,Resolved,2020-11-24,2020-11-28,85.0,Phone,4.0,AGT028
TKT000118,CUST02369,ATM Issue,Medium,Resolved,2020-01-19,2020-01-20,27.0,Branch,2.0,AGT003
TKT000119,CUST00359,Interest Query,High,Resolved,2024-11-25,2024-11-27,38.0,Chat,2.0,AGT037
TKT000120,CUST00996,General Query,High,Open,2021-02-05,,,Branch,,AGT017
TKT000121,CUST01015,Interest Query,Low,Resolved,2020-02-08,2020-02-11,89.0,Chat,4.0,AGT033
TKT000122,CUST02573,Card Issue,Low,Resolved,2022-02-08,2022-02-10,57.0,Phone,1.0,AGT013
TKT000123,CUST01602,Interest Query,High,Resolved,2020-10-23,2020-10-30,149.0,Chat,1.0,AGT028
TKT000124,CUST00050,ATM Issue,Low,Resolved,2024-09-19,2024-09-26,157.0,Email,4.0,AGT010
TKT000125,CUST02414,General Query,Low,Resolved,2022-05-16,2022-05-20,90.0,App,4.0,AGT034
TKT000126,CUST01676,Card Issue,High,Resolved,2023-10-23,2023-10-24,41.0,App,1.0,AGT018
TKT000127,CUST02763,Fraud Report,Critical,Resolved,2023-04-11,2023-04-14,88.0,Email,5.0,AGT027
TKT000128,CUST01867,ATM Issue,Low,Resolved,2023-03-16,2023-03-22,140.0,App,1.0,AGT011
TKT000129,CUST01531,Net Banking Issue,Medium,Resolved,2024-08-23,2024-08-29,126.0,Phone,5.0,AGT012
TKT000130,CUST00198,KYC Update,Critical,Resolved,2024-07-24,2024-07-25,16.0,Phone,4.0,AGT004
TKT000131,CUST00033,Net Banking Issue,Medium,Resolved,2021-03-14,2021-03-17,56.0,App,2.0,AGT010
TKT000132,CUST02466,Interest Query,Medium,Resolved,2021-09-27,2021-09-28,19.0,Chat,2.0,AGT049
TKT000133,CUST00559,Loan Query,Medium,Resolved,2022-12-30,2023-01-01,61.0,Phone,2.0,AGT042
TKT000134,CUST01864,General Query,High,In Progress,2020-08-12,,,App,,AGT001
TKT000135,CUST00302,Account Opening,Medium,Resolved,2022-03-26,2022-03-27,17.0,Chat,1.0,AGT004
TKT000136,CUST00638,Account Opening,Critical,Resolved,2023-01-02,2023-01-04,61.0,Phone,2.0,AGT016
TKT000137,CUST00942,Transaction Dispute,Low,Open,2022-01-01,,,Phone,,AGT024
TKT000138,CUST01824,ATM Issue,Critical,Resolved,2023-01-25,2023-01-30,117.0,Branch,4.0,AGT050
TKT000139,CUST01958,Net Banking Issue,High,Resolved,2024-01-11,2024-01-17,132.0,Email,1.0,AGT018
TKT000140,CUST02555,ATM Issue,Medium,Resolved,2020-02-02,2020-02-07,116.0,App,1.0,AGT021
TKT000141,CUST01212,Loan Query,Medium,Resolved,2022-07-24,2022-07-31,156.0,App,1.0,AGT043
TKT000142,CUST00832,Net Banking Issue,Low,Resolved,2022-12-09,2022-12-15,146.0,App,5.0,AGT018
TKT000143,CUST02296,ATM Issue,Medium,Resolved,2023-12-05,2023-12-06,28.0,Branch,3.0,AGT046
TKT000144,CUST01556,ATM Issue,Medium,Resolved,2020-03-22,2020-03-26,102.0,App,2.0,AGT047
TKT000145,CUST01100,Loan Query,High,Open,2021-02-21,,,Email,,AGT034
TKT000146,CUST02458,General Query,Low,Resolved,2023-04-01,2023-04-07,122.0,Email,5.0,AGT026
TKT000147,CUST01572,Net Banking Issue,Critical,Resolved,2022-04-25,2022-04-28,78.0,Branch,5.0,AGT005
TKT000148,CUST01916,Account Opening,Critical,In Progress,2023-08-14,,,Email,,AGT019
TKT000149,CUST02661,Net Banking Issue,Low,Resolved,2021-02-25,2021-03-01,85.0,App,3.0,AGT019
TKT000150,CUST02950,Loan Query,High,Resolved,2024-04-11,2024-04-15,105.0,App,2.0,AGT007
TKT000151,CUST01845,KYC Update,Low,Resolved,2021-02-03,2021-02-08,101.0,Branch,2.0,AGT029
TKT000152,CUST00501,Account Opening,Medium,Resolved,2020-02-20,2020-02-27,160.0,Chat,1.0,AGT039
TKT000153,CUST02722,Interest Query,Medium,Open,2023-09-18,,,Phone,,AGT004
TKT000154,CUST02663,Fraud Report,Critical,Resolved,2022-06-05,2022-06-08,74.0,Branch,3.0,AGT022
TKT000155,CUST00958,Fraud Report,Critical,Resolved,2021-08-21,2021-08-22,14.0,Email,5.0,AGT019
TKT000156,CUST00856,Card Issue,Low,Resolved,2024-10-06,2024-10-08,63.0,Email,3.0,AGT023
TKT000157,CUST01677,ATM Issue,High,Resolved,2020-10-10,2020-10-15,129.0,Email,4.0,AGT003
TKT000158,CUST02942,Card Issue,Low,Resolved,2020-04-11,2020-04-11,10.0,Phone,2.0,AGT016
TKT000159,CUST02829,General Query,High,Resolved,2024-07-26,2024-07-27,37.0,Email,4.0,AGT050
TKT000160,CUST00268,Interest Query,Medium,Resolved,2024-02-28,2024-03-02,68.0,Phone,4.0,AGT002
TKT000161,CUST02848,Card Issue,High,Resolved,2022-01-09,2022-01-12,65.0,Chat,3.0,AGT024
TKT000162,CUST00605,Loan Query,Medium,Resolved,2020-03-29,2020-04-02,82.0,App,2.0,AGT031
TKT000163,CUST01738,Transaction Dispute,Medium,Resolved,2020-03-14,2020-03-15,34.0,Branch,2.0,AGT012
TKT000164,CUST01819,ATM Issue,Critical,Resolved,2021-12-12,2021-12-16,77.0,App,4.0,AGT045
TKT000165,CUST02280,Fraud Report,Critical,Resolved,2023-06-13,2023-06-18,121.0,Email,4.0,AGT004
TKT000166,CUST02556,General Query,Medium,Resolved,2020-06-02,2020-06-07,123.0,Branch,2.0,AGT048
TKT000167,CUST00043,Fraud Report,Critical,Open,2024-06-17,,,Branch,,AGT025
TKT000168,CUST02541,ATM Issue,Medium,Resolved,2021-01-15,2021-01-22,162.0,Branch,3.0,AGT044
TKT000169,CUST02418,Card Issue,Medium,Resolved,2020-07-03,2020-07-08,109.0,Chat,1.0,AGT011
TKT000170,CUST00267,General Query,Medium,Resolved,2023-04-10,2023-04-11,30.0,Email,5.0,AGT024
TKT000171,CUST00021,Interest Query,Medium,Resolved,2020-09-15,2020-09-17,31.0,Email,2.0,AGT046
TKT000172,CUST02964,Transaction Dispute,Low,Resolved,2022-05-26,2022-05-28,53.0,App,4.0,AGT002
TKT000173,CUST02480,Net Banking Issue,Low,Resolved,2023-01-30,2023-02-03,98.0,Branch,5.0,AGT038
TKT000174,CUST01359,Card Issue,Low,Resolved,2021-06-01,2021-06-07,150.0,Chat,2.0,AGT043
TKT000175,CUST02374,Interest Query,Medium,In Progress,2023-05-24,,,Chat,,AGT003
TKT000176,CUST02151,Transaction Dispute,Low,Resolved,2023-01-20,2023-01-23,67.0,Email,2.0,AGT033
TKT000177,CUST02253,Net Banking Issue,Medium,Resolved,2021-03-06,2021-03-13,163.0,Chat,4.0,AGT034
TKT000178,CUST00789,Transaction Dispute,Medium,Resolved,2020-04-25,2020-04-30,107.0,Chat,4.0,AGT012
TKT000179,CUST02907,Net Banking Issue,Low,Open,2023-05-14,,,Email,,AGT024
TKT000180,CUST02680,General Query,Medium,Resolved,2023-01-09,2023-01-15,157.0,App,3.0,AGT043
TKT000181,CUST02334,General Query,High,Resolved,2024-08-29,2024-09-05,160.0,App,1.0,AGT047
TKT000182,CUST00584,Net Banking Issue,Medium,Resolved,2021-05-01,2021-05-07,141.0,Branch,1.0,AGT036
TKT000183,CUST02758,Loan Query,High,Resolved,2021-01-24,2021-01-31,156.0,Phone,4.0,AGT014
TKT000184,CUST00067,KYC Update,Low,Resolved,2021-06-16,2021-06-17,22.0,Chat,5.0,AGT006
TKT000185,CUST02761,Account Opening,Low,Open,2024-08-18,,,Branch,,AGT045
TKT000186,CUST02986,Transaction Dispute,Medium,Resolved,2023-04-30,2023-05-03,63.0,Chat,3.0,AGT047
TKT000187,CUST01224,ATM Issue,Medium,Resolved,2024-04-23,2024-04-25,47.0,Chat,4.0,AGT022
TKT000188,CUST02021,KYC Update,Medium,Resolved,2024-09-09,2024-09-15,151.0,Phone,5.0,AGT048
TKT000189,CUST01910,KYC Update,Low,Resolved,2023-01-04,2023-01-05,34.0,Email,5.0,AGT049
TKT000190,CUST00385,KYC Update,Medium,Resolved,2022-07-01,2022-07-04,76.0,Branch,4.0,AGT027
TKT000191,CUST00721,General Query,Medium,Resolved,2021-08-14,2021-08-20,140.0,Phone,2.0,AGT016
TKT000192,CUST01247,ATM Issue,Medium,Resolved,2022-02-01,2022-02-02,2.0,Branch,2.0,AGT005
TKT000193,CUST00383,General Query,Critical,Resolved,2020-03-19,2020-03-21,31.0,Branch,2.0,AGT023
TKT000194,CUST00145,KYC Update,Critical,Resolved,2024-11-19,2024-11-25,137.0,Phone,3.0,AGT011
TKT000195,CUST02926,Transaction Dispute,Critical,Resolved,2024-07-12,2024-07-15,82.0,Phone,2.0,AGT009
TKT000196,CUST01123,Interest Query,Medium,Resolved,2023-02-27,2023-03-02,65.0,Phone,1.0,AGT014
TKT000197,CUST00839,Interest Query,Medium,Resolved,2024-02-08,2024-02-09,17.0,Phone,3.0,AGT014
TKT000198,CUST00021,ATM Issue,High,Resolved,2020-03-26,2020-03-29,79.0,Phone,4.0,AGT030
TKT000199,CUST02836,Net Banking Issue,Medium,Resolved,2020-06-25,2020-07-02,156.0,App,1.0,AGT015
TKT000200,CUST02657,KYC Update,Medium,Resolved,2020-06-12,2020-06-19,153.0,Phone,3.0,AGT007
TKT000201,CUST02401,KYC Update,Low,Resolved,2023-10-24,2023-10-27,72.0,Branch,1.0,AGT018
TKT000202,CUST01972,Fraud Report,Critical,Resolved,2023-06-28,2023-06-29,19.0,Chat,4.0,AGT043
TKT000203,CUST02841,ATM Issue,Low,Resolved,2024-06-02,2024-06-08,144.0,Phone,2.0,AGT015
TKT000204,CUST02078,General Query,High,Resolved,2024-05-16,2024-05-22,140.0,Branch,1.0,AGT033
TKT000205,CUST02204,Net Banking Issue,Low,Open,2021-04-19,,,Branch,,AGT043
TKT000206,CUST01575,Transaction Dispute,Medium,Resolved,2024-11-29,2024-11-30,25.0,Phone,5.0,AGT026
TKT000207,CUST02708,ATM Issue,Medium,Resolved,2022-08-12,2022-08-14,61.0,Phone,1.0,AGT025
TKT000208,CUST02869,KYC Update,Critical,Resolved,2021-03-07,2021-03-13,155.0,Phone,2.0,AGT027
TKT000209,CUST00051,Net Banking Issue,High,Resolved,2024-10-03,2024-10-06,91.0,Chat,4.0,AGT017
TKT000210,CUST02565,Interest Query,Medium,Resolved,2021-08-25,2021-08-31,150.0,Branch,3.0,AGT012
TKT000211,CUST00687,ATM Issue,High,Resolved,2023-05-10,2023-05-13,85.0,Email,3.0,AGT045
TKT000212,CUST02486,Transaction Dispute,High,Resolved,2021-01-27,2021-01-29,50.0,Branch,4.0,AGT019
TKT000213,CUST02496,Card Issue,Low,Resolved,2023-09-05,2023-09-11,141.0,Branch,3.0,AGT046
TKT000214,CUST02346,KYC Update,Medium,Resolved,2020-03-26,2020-03-31,117.0,Email,5.0,AGT011
TKT000215,CUST02709,Transaction Dispute,Low,Resolved,2023-07-11,2023-07-15,106.0,Branch,5.0,AGT040
TKT000216,CUST00455,Net Banking Issue,Low,Resolved,2024-09-25,2024-10-01,133.0,App,4.0,AGT034
TKT000217,CUST02415,KYC Update,Low,Resolved,2023-10-08,2023-10-10,57.0,Branch,5.0,AGT048
TKT000218,CUST01877,Transaction Dispute,High,Resolved,2020-05-19,2020-05-24,99.0,Email,4.0,AGT042
TKT000219,CUST01764,Transaction Dispute,Low,Resolved,2022-03-25,2022-03-30,112.0,App,4.0,AGT042
TKT000220,CUST01170,KYC Update,Medium,Resolved,2023-04-04,2023-04-06,41.0,Chat,5.0,AGT018
TKT000221,CUST01390,Account Opening,Critical,Resolved,2022-06-22,2022-06-28,133.0,Email,2.0,AGT001
TKT000222,CUST02673,KYC Update,Medium,Resolved,2020-04-16,2020-04-17,17.0,Branch,2.0,AGT023
TKT000223,CUST01337,Account Opening,Critical,Resolved,2021-06-11,2021-06-14,63.0,Chat,5.0,AGT001
TKT000224,CUST01029,Account Opening,High,Resolved,2024-09-16,2024-09-21,137.0,App,5.0,AGT031
TKT000225,CUST01253,ATM Issue,Critical,Resolved,2021-04-06,2021-04-11,101.0,Branch,2.0,AGT046
TKT000226,CUST01963,Card Issue,Medium,Resolved,2021-05-10,2021-05-16,123.0,Branch,5.0,AGT043
TKT000227,CUST01290,ATM Issue,Low,Resolved,2024-06-25,2024-06-27,48.0,Phone,3.0,AGT050
TKT000228,CUST00295,Interest Query,Medium,Resolved,2020-07-09,2020-07-14,138.0,App,2.0,AGT003
TKT000229,CUST01228,General Query,Critical,Resolved,2022-08-08,2022-08-13,110.0,Email,2.0,AGT007
TKT000230,CUST00324,KYC Update,Low,Resolved,2021-12-04,2021-12-10,146.0,Chat,4.0,AGT016
TKT000231,CUST00865,ATM Issue,Medium,In Progress,2021-09-15,,,Email,,AGT012
TKT000232,CUST01429,Net Banking Issue,Medium,Resolved,2022-08-21,2022-08-23,45.0,Chat,1.0,AGT031
TKT000233,CUST02881,ATM Issue,Medium,Resolved,2024-02-11,2024-02-17,136.0,App,2.0,AGT028
TKT000234,CUST00723,Net Banking Issue,Medium,Resolved,2020-09-02,2020-09-04,44.0,Branch,3.0,AGT023
TKT000235,CUST01268,Card Issue,Medium,Resolved,2022-08-27,2022-08-30,72.0,App,1.0,AGT007
TKT000236,CUST01841,ATM Issue,High,Resolved,2023-12-05,2023-12-11,146.0,Phone,3.0,AGT016
TKT000237,CUST02739,KYC Update,Medium,Resolved,2022-02-11,2022-02-12,13.0,Email,2.0,AGT003
TKT000238,CUST01427,Transaction Dispute,Medium,Resolved,2021-03-22,2021-03-28,142.0,App,3.0,AGT005
TKT000239,CUST01362,Fraud Report,Critical,Resolved,2020-12-05,2020-12-07,47.0,Chat,4.0,AGT021
TKT000240,CUST00205,KYC Update,Low,Open,2022-09-12,,,Branch,,AGT032
TKT000241,CUST02252,Net Banking Issue,Medium,Resolved,2024-10-22,2024-10-27,126.0,Chat,3.0,AGT006
TKT000242,CUST02845,Fraud Report,Critical,In Progress,2021-04-16,,,Branch,,AGT037
TKT000243,CUST00027,Loan Query,Critical,Resolved,2024-11-18,2024-11-23,107.0,Phone,5.0,AGT038
TKT000244,CUST00593,General Query,Critical,Resolved,2022-11-11,2022-11-16,122.0,Branch,3.0,AGT035
TKT000245,CUST01866,General Query,Critical,Resolved,2022-08-06,2022-08-09,61.0,App,2.0,AGT035
TKT000246,CUST01426,Fraud Report,Critical,Open,2020-01-20,,,Email,,AGT021
TKT000247,CUST02222,General Query,Medium,Resolved,2023-06-24,2023-06-30,166.0,Chat,5.0,AGT017
TKT000248,CUST02587,Account Opening,Low,Resolved,2021-11-12,2021-11-12,19.0,Phone,4.0,AGT046
