account_id,customer_id,account_type,account_status,open_date,branch_id,current_balance,min_balance,interest_rate,nomination_set,overdraft_limit
ACC000159,CUST00113,Savings,Active,2020-07-03,BR043,278938.97,1000,6.53,1,0.0
ACC000160,CUST00114,Fixed Deposit,Dormant,2020-09-17,BR015,6054400.68,0,4.84,0,0.0
ACC000161,CUST00114,Current,Active,2021-07-12,BR015,3760106.42,10000,5.94,1,47544.0
ACC000162,CUST00115,Savings,Closed,2023-06-19,BR006,200220.06,1000,4.39,1,0.0
ACC000163,CUST00116,Savings,Active,2023-11-30,BR029,409970.91,1000,5.33,1,0.0
ACC000164,CUST00117,Current,Active,2023-12-03,BR011,4528055.11,10000,4.13,1,16710.0
ACC000165,CUST00118,Savings,Active,2021-09-05,BR040,396585.7,1000,5.33,0,0.0
ACC000166,CUST00119,Fixed Deposit,Active,2020-09-18,BR006,3307574.5,0,3.29,1,0.0
ACC000167,CUST00120,Salary,Active,2023-10-14,BR019,126796.5,0,6.09,1,0.0
ACC000168,CUST00120,Savings,Active,2022-01-09,BR019,364100.14,1000,3.38,0,0.0
ACC000169,CUST00120,Fixed Deposit,Active,2022-06-12,BR019,6398433.95,0,7.39,1,0.0
ACC000170,CUST00121,Savings,Active,2022-02-22,BR039,300148.17,1000,2.93,1,0.0
ACC000171,CUST00122,Current,Active,2022-04-03,BR029,2515745.96,10000,6.29,1,34770.0
ACC000172,CUST00123,Fixed Deposit,Active,2023-08-06,BR013,9671342.29,0,3.75,0,0.0
ACC000173,CUST00123,Savings,Active,2022-12-17,BR013,377201.86,1000,6.48,1,0.0
ACC000174,CUST00123,NRI,Dormant,2023-04-28,BR013,1759356.5,0,5.61,1,0.0
ACC000175,CUST00124,Savings,Active,2023-04-29,BR038,137263.27,1000,7.38,1,0.0
ACC000176,CUST00124,Fixed Deposit,Active,2023-12-06,BR038,1059893.36,0,2.64,1,0.0
ACC000177,CUST00125,Savings,Active,2021-11-21,BR024,293222.88,1000,5.73,0,0.0
ACC000178,CUST00125,Current,Active,2022-07-06,BR024,3016314.38,10000,5.66,1,40353.0
ACC000179,CUST00126,Salary,Active,2022-05-16,BR044,52183.18,0,2.88,1,0.0
ACC000180,CUST00127,Savings,Active,2020-10-18,BR026,3946.03,1000,5.4,1,0.0
ACC000181,CUST00128,Fixed Deposit,Active,2021-02-13,BR011,8146202.28,0,6.3,1,0.0
ACC000182,CUST00129,Salary,Active,2022-10-04,BR024,168227.39,0,4.93,1,0.0
ACC000183,CUST00130,Current,Active,2021-07-11,BR037,2424693.59,10000,3.06,1,30220.0
ACC000184,CUST00131,Fixed Deposit,Active,2022-09-16,BR037,6647712.03,0,5.68,1,0.0
ACC000185,CUST00131,Current,Active,2023-12-20,BR037,78568.75,10000,5.95,1,31943.0
ACC000186,CUST00132,Savings,Active,2022-06-19,BR048,188732.84,1000,7.3,1,0.0
ACC000187,CUST00132,Fixed Deposit,Active,2021-01-10,BR048,8506863.08,0,3.79,1,0.0
ACC000188,CUST00133,Fixed Deposit,Dormant,2023-08-03,BR022,1181638.57,0,4.06,1,0.0
ACC000189,CUST00133,Savings,Closed,2020-06-23,BR022,57669.72,1000,2.79,1,0.0
ACC000190,CUST00134,Savings,Closed,2023-09-04,BR046,71175.16,1000,7.03,0,0.0
ACC000191,CUST00135,Current,Active,2023-01-29,BR025,4956405.79,10000,2.55,0,46655.0
ACC000192,CUST00136,Current,Active,2020-08-03,BR014,901818.84,10000,3.07,1,631.0
ACC000193,CUST00137,Current,Active,2023-10-16,BR041,1081327.9,10000,2.88,1,34162.0
ACC000194,CUST00138,Savings,Active,2022-05-19,BR031,192805.83,1000,5.78,1,0.0
ACC000195,CUST00138,Current,Active,2021-05-26,BR031,567398.76,10000,5.32,1,8281.0
ACC000196,CUST00139,Salary,Active,2017-01-15,BR012,267708.53,0,2.63,1,0.0
ACC000197,CUST00139,Savings,Active,2019-05-30,BR012,253262.8,1000,4.67,0,0.0
ACC000198,CUST00139,Fixed Deposit,Active,2021-12-05,BR012,5393325.14,0,7.27,1,0.0
ACC000199,CUST00140,Savings,Active,2022-11-08,BR001,199091.5,1000,3.35,1,0.0
ACC000200,CUST00141,Savings,Active,2018-02-09,BR030,307781.07,1000,4.92,0,0.0
ACC000201,CUST00141,NRI,Active,2019-07-16,BR030,12850257.9,0,7.23,1,0.0
ACC000202,CUST00142,Savings,Active,2023-01-03,BR044,141224.93,1000,5.82,1,0.0
ACC000203,CUST00142,Current,Active,2022-07-30,BR044,23117.67,10000,4.1,1,20643.0
ACC000204,CUST00143,Savings,Active,2023-10-07,BR016,252599.61,1000,5.55,1,0.0
ACC000205,CUST00144,Salary,Active,2023-09-02,BR043,298875.66,0,4.46,1,0.0
ACC000206,CUST00145,Savings,Active,2023-07-11,BR015,116914.04,1000,6.98,1,0.0
ACC000207,CUST00145,Fixed Deposit,Active,2023-03-27,BR015,1711629.38,0,7.41,1,0.0
ACC000208,CUST00146,Current,Active,2023-10-19,BR044,138735.67,10000,5.24,1,544.0
ACC000209,CUST00146,Savings,Active,2022-12-07,BR044,32542.26,1000,2.64,0,0.0
ACC000210,CUST00147,Current,Active,2023-11-15,BR013,4430116.8,10000,4.32,1,2073.0
ACC000211,CUST00147,Savings,Active,2023-11-14,BR013,337529.63,1000,6.66,0,0.0
ACC000212,CUST00148,Savings,Active,2016-09-25,BR030,230983.25,1000,3.86,1,0.0
ACC000213,CUST00149,Savings,Active,2019-10-16,BR038,456267.24,1000,7.26,1,0.0
ACC000214,CUST00149,Current,Active,2023-09-10,BR038,4777079.66,10000,6.65,1,33012.0
ACC000215,CUST00150,Current,Dormant,2023-04-22,BR050,3426852.56,10000,5.21,1,6024.0
ACC000216,CUST00151,Savings,Active,2022-11-08,BR009,410652.1,1000,4.53,0,0.0
ACC000217,CUST00152,Savings,Active,2019-07-07,BR044,292651.25,1000,3.84,1,0.0
ACC000218,CUST00153,Current,Active,2017-11-15,BR043,3952838.73,10000,4.03,1,44975.0
ACC000219,CUST00154,Current,Active,2019-01-14,BR016,653392.24,10000,3.53,1,35198.0
ACC000220,CUST00154,Savings,Active,2020-08-26,BR016,153361.51,1000,3.31,1,0.0
ACC000221,CUST00155,Fixed Deposit,Active,2023-07-21,BR021,1530245.91,0,4.27,1,0.0
ACC000222,CUST00156,Current,Active,2023-05-20,BR036,2824501.98,10000,3.68,1,24943.0
ACC000223,CUST00156,NRI,Active,2022-08-19,BR036,12426043.23,0,3.45,1,0.0
ACC000224,CUST00157,Current,Active,2023-12-13,BR045,3138809.29,10000,7.01,1,40779.0
ACC000225,CUST00158,Current,Active,2022-12-12,BR004,2124203.06,10000,6.5,1,19206.0
ACC000226,CUST00159,Savings,Active,2023-05-08,BR035,124982.51,1000,4.1,0,0.0
ACC000227,CUST00160,Savings,Active,2019-05-04,BR014,301802.44,1000,5.26,1,0.0
ACC000228,CUST00160,Salary,Active,2017-11-27,BR014,144629.74,0,7.4,1,0.0
ACC000229,CUST00161,Savings,Active,2019-02-05,BR045,469599.24,1000,2.78,1,0.0
ACC000230,CUST00162,Savings,Active,2023-10-25,BR033,30491.22,1000,6.89,1,0.0
ACC000231,CUST00163,Savings,Active,2023-12-24,BR048,344828.57,1000,7.36,1,0.0
ACC000232,CUST00164,Salary,Active,2023-11-28,BR017,169198.4,0,3.59,1,0.0
ACC000233,CUST00165,Savings,Active,2019-05-11,BR042,182171.82,1000,6.2,0,0.0
ACC000234,CUST00166,Savings,Active,2023-07-12,BR001,467073.65,1000,3.03,1,0.0
ACC000235,CUST00166,Fixed Deposit,Active,2023-07-02,BR001,2965626.72,0,4.89,1,0.0
ACC000236,CUST00166,Salary,Active,2023-04-22,BR001,191374.05,0,4.0,0,0.0
ACC000237,CUST00167,Savings,Active,2023-05-26,BR035,55720.67,1000,3.31,1,0.0
ACC000238,CUST00167,NRI,Active,2023-03-11,BR035,5534903.69,0,5.55,0,0.0
ACC000239,CUST00168,Savings,Active,2023-02-25,BR018,298519.71,1000,4.71,1,0.0
ACC000240,CUST00168,Fixed Deposit,Dormant,2022-08-05,BR018,2183356.34,0,5.59,0,0.0
ACC000241,CUST00169,Current,Active,2022-11-10,BR006,600093.27,10000,2.51,1,40476.0
ACC000242,CUST00170,NRI,Active,2023-10-12,BR007,1598358.63,0,6.78,1,0.0
ACC000243,CUST00171,Fixed Deposit,Dormant,2020-07-08,BR012,534730.84,0,6.56,1,0.0
ACC000244,CUST00172,Salary,Active,2020-12-19,BR016,12584.77,0,3.2,1,0.0
ACC000245,CUST00173,NRI,Active,2023-12-14,BR004,9620176.97,0,6.63,1,0.0
ACC000246,CUST00174,Savings,Active,2021-08-02,BR029,493905.23,1000,7.1,1,0.0
ACC000247,CUST00175,Savings,Active,2023-12-12,BR046,295578.67,1000,2.63,0,0.0
ACC000248,CUST00176,Savings,Active,2023-12-15,BR007,456654.21,1000,6.9,1,0.0
ACC000249,CUST00177,Savings,Active,2023-04-22,BR001,299262.92,1000,2.68,1,0.0
ACC000250,CUST00177,Salary,Active,2021-05-24,BR001,134142.35,0,2.54,1,0.0
ACC000251,CUST00178,Savings,Active,2023-06-10,BR005,41616.93,1000,7.05,0,0.0
ACC000252,CUST00179,NRI,Active,2021-05-09,BR007,11202644.64,0,5.21,0,0.0
ACC000253,CUST00180,Current,Active,2020-05-06,BR009,3197969.79,10000,3.36,1,44428.0
ACC000254,CUST00180,Savings,Active,2023-09-01,BR009,274449.98,1000,2.68,1,0.0
ACC000255,CUST00180,Salary,Active,2021-08-27,BR009,187276.51,0,6.26,1,0.0
ACC000256,CUST00181,Savings,Active,2021-12-11,BR037,324018.32,1000,3.89,1,0.0
ACC000257,CUST00181,Current,Active,2021-09-28,BR037,3211776.52,10000,4.94,1,42197.0
ACC000258,CUST00182,Savings,Active,2021-07-29,BR002,289828.8,1000,6.02,0,0.0
ACC000259,CUST00182,Fixed Deposit,Closed,2023-08-31,BR002,2768942.57,0,5.8,1,0.0
ACC000260,CUST00183,Salary,Active,2021-10-14,BR009,212186.65,0,3.35,1,0.0
ACC000261,CUST00184,Current,Active,2020-07-06,BR033,2351452.13,10000,5.71,0,10449.0
ACC000262,CUST00185,Savings,Active,2018-05-28,BR043,360225.51,1000,4.34,1,0.0
ACC000263,CUST00186,Salary,Active,2023-11-08,BR001,98355.41,0,6.59,1,0.0
ACC000264,CUST00187,Savings,Active,2023-09-03,BR045,371295.23,1000,5.15,0,0.0
ACC000265,CUST00188,Current,Active,2023-08-15,BR020,2133419.16,10000,5.59,1,15363.0
ACC000266,CUST00189,Fixed Deposit,Active,2017-12-10,BR002,9072205.91,0,2.91,1,0.0
ACC000267,CUST00190,Current,Active,2022-08-17,BR026,1953205.26,10000,4.4,0,14286.0
ACC000268,CUST00191,Savings,Active,2022-09-28,BR014,66197.23,1000,5.41,1,0.0
ACC000269,CUST00192,Salary,Active,2023-01-09,BR043,74069.21,0,3.7,1,0.0
ACC000270,CUST00193,Savings,Active,2023-01-06,BR044,227125.24,1000,5.45,1,0.0
ACC000271,CUST00194,Fixed Deposit,Active,2023-08-24,BR025,9269035.24,0,4.11,0,0.0
ACC000272,CUST00195,Fixed Deposit,Active,2023-11-12,BR032,8133557.44,0,4.26,0,0.0
ACC000273,CUST00196,Savings,Dormant,2022-06-07,BR033,471640.57,1000,6.22,0,0.0
ACC000274,CUST00197,Salary,Active,2022-11-20,BR003,29275.85,0,4.12,1,0.0
ACC000275,CUST00198,Current,Active,2023-11-09,BR024,4539816.59,10000,5.31,0,49603.0
ACC000276,CUST00199,Savings,Active,2023-09-08,BR029,312462.37,1000,5.89,1,0.0
ACC000277,CUST00200,Current,Active,2019-09-21,BR041,310500.52,10000,5.09,1,21883.0
ACC000278,CUST00200,Savings,Active,2020-09-28,BR041,380044.46,1000,6.07,0,0.0
ACC000279,CUST00200,Salary,Active,2022-01-15,BR041,171448.4,0,6.94,1,0.0
ACC000280,CUST00201,Savings,Active,2022-08-20,BR019,496602.06,1000,5.54,1,0.0
ACC000281,CUST00201,Fixed Deposit,Active,2019-06-16,BR019,1652198.23,0,2.85,1,0.0
ACC000282,CUST00202,Savings,Active,2022-11-01,BR016,30715.84,1000,2.61,0,0.0
ACC000283,CUST00203,Fixed Deposit,Active,2021-08-08,BR026,736030.87,0,5.13,1,0.0
